#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM10	NOTCH1	0	0	0	0	0	0	0	0	0	0	0.996
ADAM10	DLG1	0	0	0	0	0	0	0	0	0	0	0.993
ADAM10	APP	0	0	0	0	0	0	0	0	0	0	0.992
ADAM10	TSPAN5	0	0	0	0	0	0	0	0	0	0	0.991
ADAM10	EPHA3	0	0	0	0	0	0	0	0	0	0	0.983
ADAM10	TSPAN15	0	0	0	0	0	0	0	0	0	0	0.977
ADAM10	DLL1	0	0	0	0	0	0	0	0	0	0	0.975
ADAM10	NOTCH2	0	0	0	0	0	0	0	0	0	0	0.973
ADAM10	DLL4	0	0	0	0	0	0	0	0	0	0	0.972
ADAM10	JAG1	0	0	0	0	0	0	0	0	0	0	0.972
ADAM22	LGI1	0	0	0	0	0	0	0	0	0	0	0.999
ADAM22	DLG4	0	0	0	0	0	0	0	0	0	0	0.998
ADAM22	LGI4	0	0	0	0	0	0	0	0	0	0	0.984
ADAM22	LGI3	0	0	0	0	0	0	0	0	0	0	0.937
ADAM22	CACNG2	0	0	0	0	0	0	0	0	0	0	0.919
ADAM22	LGI2	0	0	0	0	0	0	0	0	0	0	0.893
ADAM22	DLG2	0	0	0	0	0	0	0	0	0	0	0.869
ADAM22	KCNA1	0	0	0	0	0	0	0	0	0	0	0.844
ADAM22	YWHAZ	0	0	0	0	0	0	0	0	0	0	0.822
ADAM22	CNTNAP2	0	0	0	0	0	0	0	0	0	0	0.787
ARHGEF7	PAK2	0	0	0	0	0	0	0	0	0	0	0.999
ARHGEF7	PXN	0	0	0	0	0	0	0	0	0	0	0.999
ARHGEF7	PAK1	0	0	0	0	0	0	0	0	0	0	0.999
ARHGEF7	GIT1	0	0	0	0	0	0	0	0	0	0	0.999
ARHGEF7	CDC42	0	0	0	0	0	0	0	0	0	0	0.999
ARHGEF7	PAK3	0	0	0	0	0	0	0	0	0	0	0.998
ARHGEF7	GIT2	0	0	0	0	0	0	0	0	0	0	0.998
ARHGEF7	CBL	0	0	0	0	0	0	0	0	0	0	0.998
ARHGEF7	SCRIB	0	0	0	0	0	0	0	0	0	0	0.997
ARHGEF7	RAC1	0	0	0	0	0	0	0	0	0	0	0.993
CACNG2	GRIA1	0	0	0	0	0	0	0	0	0	0	0.999
CACNG2	DLG4	0	0	0	0	0	0	0	0	0	0	0.998
CACNG2	GRIA2	0	0	0	0	0	0	0	0	0	0	0.994
CACNG2	GRIA4	0	0	0	0	0	0	0	0	0	0	0.988
CACNG2	DLG1	0	0	0	0	0	0	0	0	0	0	0.987
CACNG2	GRIA3	0	0	0	0	0	0	0	0	0	0	0.986
CACNG2	AKAP5	0	0	0	0	0	0	0	0	0	0	0.956
CACNG2	EPB41L1	0	0	0	0	0	0	0	0	0	0	0.953
CACNG2	SHISA9	0	0	0	0	0	0	0	0	0	0	0.934
CACNG2	CAMK2A	0	0	0	0	0	0	0	0	0	0	0.933
CASK	APBA1	0	0	0	0	0	0	0	0	0	0	0.999
CASK	LIN7A	0	0	0	0	0	0	0	0	0	0	0.999
CASK	PPFIA2	0	0	0	0	0	0	0	0	0	0	0.997
CASK	LIN7B	0	0	0	0	0	0	0	0	0	0	0.997
CASK	SDC2	0	0	0	0	0	0	0	0	0	0	0.995
CASK	LIN7C	0	0	0	0	0	0	0	0	0	0	0.993
CASK	EPB41	0	0	0	0	0	0	0	0	0	0	0.991
CASK	SDC1	0	0	0	0	0	0	0	0	0	0	0.979
CASK	PPFIA3	0	0	0	0	0	0	0	0	0	0	0.976
CASK	TBR1	0	0	0	0	0	0	0	0	0	0	0.975
CTTN	PXN	0	0	0	0	0	0	0	0	0	0	0.999
CTTN	SRC	0	0	0	0	0	0	0	0	0	0	0.999
CTTN	WASL	0	0	0	0	0	0	0	0	0	0	0.997
CTTN	DNM2	0	0	0	0	0	0	0	0	0	0	0.997
CTTN	HIP1R	0	0	0	0	0	0	0	0	0	0	0.996
CTTN	TJP1	0	0	0	0	0	0	0	0	0	0	0.995
CTTN	CTNND1	0	0	0	0	0	0	0	0	0	0	0.994
CTTN	CFL1	0	0	0	0	0	0	0	0	0	0	0.991
CTTN	WAS	0	0	0	0	0	0	0	0	0	0	0.991
CTTN	MYLK	0	0	0	0	0	0	0	0	0	0	0.99
ERBB4	NRG1	0	0	0	0	0	0	0	0	0	0	0.999
ERBB4	STAT5A	0	0	0	0	0	0	0	0	0	0	0.999
ERBB4	DLG4	0	0	0	0	0	0	0	0	0	0	0.999
ERBB4	HBEGF	0	0	0	0	0	0	0	0	0	0	0.999
ERBB4	NRG2	0	0	0	0	0	0	0	0	0	0	0.999
ERBB4	GRB2	0	0	0	0	0	0	0	0	0	0	0.999
ERBB4	NRG3	0	0	0	0	0	0	0	0	0	0	0.999
ERBB4	SHC1	0	0	0	0	0	0	0	0	0	0	0.999
ERBB4	YAP1	0	0	0	0	0	0	0	0	0	0	0.998
ERBB4	NRG4	0	0	0	0	0	0	0	0	0	0	0.998
GRIA1	DLG1	0	0	0	0	0	0	0	0	0	0	0.999
GRIA1	EPB41L1	0	0	0	0	0	0	0	0	0	0	0.999
GRIA1	CACNG2	0	0	0	0	0	0	0	0	0	0	0.999
GRIA1	DLG4	0	0	0	0	0	0	0	0	0	0	0.998
GRIA1	GRIA2	0	0	0	0	0	0	0	0	0	0	0.998
GRIA1	CACNG8	0	0	0	0	0	0	0	0	0	0	0.991
GRIA1	PICK1	0	0	0	0	0	0	0	0	0	0	0.987
GRIA1	GRIP1	0	0	0	0	0	0	0	0	0	0	0.981
GRIA1	CAMK2A	0	0	0	0	0	0	0	0	0	0	0.98
GRIA1	PRKCA	0	0	0	0	0	0	0	0	0	0	0.979
GRIK2	DLG4	0	0	0	0	0	0	0	0	0	0	0.999
GRIK2	GRIK5	0	0	0	0	0	0	0	0	0	0	0.975
GRIK2	NETO2	0	0	0	0	0	0	0	0	0	0	0.943
GRIK2	DLG1	0	0	0	0	0	0	0	0	0	0	0.941
GRIK2	KARS	0	0	0	0	0	0	0	0	0	0	0.928
GRIK2	PICK1	0	0	0	0	0	0	0	0	0	0	0.917
GRIK2	SLC12A5	0	0	0	0	0	0	0	0	0	0	0.913
GRIK2	DLG3	0	0	0	0	0	0	0	0	0	0	0.913
GRIK2	EPB41L1	0	0	0	0	0	0	0	0	0	0	0.912
GRIK2	KIF17	0	0	0	0	0	0	0	0	0	0	0.888
GRIN1	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.999
GRIN1	DLG4	0	0	0	0	0	0	0	0	0	0	0.999
GRIN1	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.999
GRIN1	NOS1	0	0	0	0	0	0	0	0	0	0	0.976
GRIN1	GRIN2C	0	0	0	0	0	0	0	0	0	0	0.967
GRIN1	GRIN3A	0	0	0	0	0	0	0	0	0	0	0.967
GRIN1	GRIN2D	0	0	0	0	0	0	0	0	0	0	0.963
GRIN1	GRIA2	0	0	0	0	0	0	0	0	0	0	0.96
GRIN1	CAMK2A	0	0	0	0	0	0	0	0	0	0	0.951
GRIN1	DLG3	0	0	0	0	0	0	0	0	0	0	0.945
GRIN2A	GRIN1	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2A	SRC	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2A	DLG4	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2A	FYN	0	0	0	0	0	0	0	0	0	0	0.997
GRIN2A	DLG1	0	0	0	0	0	0	0	0	0	0	0.996
GRIN2A	DLG3	0	0	0	0	0	0	0	0	0	0	0.995
GRIN2A	PTK2B	0	0	0	0	0	0	0	0	0	0	0.975
GRIN2A	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.975
GRIN2A	DLG2	0	0	0	0	0	0	0	0	0	0	0.967
GRIN2A	LRP8	0	0	0	0	0	0	0	0	0	0	0.965
GRIN2B	CAMK2A	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2B	DLG4	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2B	GRIN1	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2B	DLG3	0	0	0	0	0	0	0	0	0	0	0.998
GRIN2B	FYN	0	0	0	0	0	0	0	0	0	0	0.998
GRIN2B	RASGRF1	0	0	0	0	0	0	0	0	0	0	0.995
GRIN2B	NOS1	0	0	0	0	0	0	0	0	0	0	0.993
GRIN2B	GNB2L1	0	0	0	0	0	0	0	0	0	0	0.989
GRIN2B	DLG2	0	0	0	0	0	0	0	0	0	0	0.988
GRIN2B	DRD2	0	0	0	0	0	0	0	0	0	0	0.988
GRM1	GNAQ	0	0	0	0	0	0	0	0	0	0	0.995
GRM1	HOMER1	0	0	0	0	0	0	0	0	0	0	0.995
GRM1	CASR	0	0	0	0	0	0	0	0	0	0	0.98
GRM1	HOMER3	0	0	0	0	0	0	0	0	0	0	0.973
GRM1	GRM5	0	0	0	0	0	0	0	0	0	0	0.97
GRM1	ESR1	0	0	0	0	0	0	0	0	0	0	0.97
GRM1	HOMER2	0	0	0	0	0	0	0	0	0	0	0.968
GRM1	PLCB1	0	0	0	0	0	0	0	0	0	0	0.952
GRM1	GABBR1	0	0	0	0	0	0	0	0	0	0	0.93
GRM1	CAMK2A	0	0	0	0	0	0	0	0	0	0	0.923
GRM5	HOMER1	0	0	0	0	0	0	0	0	0	0	0.998
GRM5	GNAQ	0	0	0	0	0	0	0	0	0	0	0.997
GRM5	ENSP00000480012	0	0	0	0	0	0	0	0	0	0	0.985
GRM5	PRNP	0	0	0	0	0	0	0	0	0	0	0.983
GRM5	GRM1	0	0	0	0	0	0	0	0	0	0	0.97
GRM5	AQP4	0	0	0	0	0	0	0	0	0	0	0.958
GRM5	DLG4	0	0	0	0	0	0	0	0	0	0	0.953
GRM5	ESR1	0	0	0	0	0	0	0	0	0	0	0.952
GRM5	HOMER2	0	0	0	0	0	0	0	0	0	0	0.938
GRM5	SHANK1	0	0	0	0	0	0	0	0	0	0	0.931
