#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM10	TSPAN33	0	0	0	0	0	0	0	0	0	0	0.987
ADAM10	DLG1	0	0	0	0	0	0	0	0	0	0	0.982
ADAM10	TSPAN14	0	0	0	0	0	0	0	0	0	0	0.977
ADAM10	TSPAN5	0	0	0	0	0	0	0	0	0	0	0.973
ADAM10	ADAM17	0	0	0	0	0	0	0	0	0	0	0.958
ADAM10	HBEGF	0	0	0	0	0	0	0	0	0	0	0.954
ADAM10	TSPAN15	0	0	0	0	0	0	0	0	0	0	0.952
ADAM10	APP	0	0	0	0	0	0	0	0	0	0	0.95
ADAM10	EFNA2	0	0	0	0	0	0	0	0	0	0	0.932
ADAM10	NOTCH1	0	0	0	0	0	0	0	0	0	0	0.924
