#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CAMK2A	GRIN2D	9606.ENSP00000500386	9606.ENSP00000263269	0	0	0	0	0.083	0.092	0.400	0.306	0.607
CAMK2A	GRIN2C	9606.ENSP00000500386	9606.ENSP00000293190	0	0	0	0	0.181	0.092	0.500	0.372	0.735
CAMK2A	GRIN2A	9606.ENSP00000500386	9606.ENSP00000332549	0	0	0	0	0.186	0.154	0.500	0.919	0.968
CAMK2A	GRIN1	9606.ENSP00000500386	9606.ENSP00000360608	0	0	0	0	0.332	0.389	0.400	0.682	0.911
CAMK2A	DLG3	9606.ENSP00000500386	9606.ENSP00000363480	0	0	0	0	0.045	0.205	0.400	0.397	0.688
CAMK2A	DLG2	9606.ENSP00000500386	9606.ENSP00000365272	0	0	0	0	0.145	0.128	0.400	0.384	0.688
CAMK2A	GRIN2B	9606.ENSP00000500386	9606.ENSP00000477455	0	0	0	0	0.199	0.978	0.400	0.965	0.999
CAMK2A	DLG4	9606.ENSP00000500386	9606.ENSP00000497806	0	0	0	0	0.158	0.167	0.400	0.832	0.920
DLG2	GRIN2D	9606.ENSP00000365272	9606.ENSP00000263269	0	0	0	0	0	0.101	0.400	0.376	0.634
DLG2	GRIN2C	9606.ENSP00000365272	9606.ENSP00000293190	0	0	0	0	0.108	0.101	0.500	0.600	0.818
DLG2	GRIN2A	9606.ENSP00000365272	9606.ENSP00000332549	0	0	0	0	0.115	0.278	0.500	0.992	0.997
DLG2	GRIN1	9606.ENSP00000365272	9606.ENSP00000360608	0	0	0	0	0.182	0.298	0.400	0.390	0.761
DLG2	DLG3	9606.ENSP00000365272	9606.ENSP00000363480	0	0	0.055	0.965	0.061	0.217	0.900	0.815	0.984
DLG2	DLG4	9606.ENSP00000365272	9606.ENSP00000497806	0	0	0.056	0.966	0.087	0.386	0.400	0.918	0.969
DLG2	GRIN2B	9606.ENSP00000365272	9606.ENSP00000477455	0	0	0	0	0.109	0.506	0.400	0.988	0.996
DLG3	GRIN3B	9606.ENSP00000363480	9606.ENSP00000234389	0	0	0	0	0	0.091	0.360	0.365	0.598
DLG3	GRIN2D	9606.ENSP00000363480	9606.ENSP00000263269	0	0	0	0	0.042	0.101	0.400	0.419	0.659
DLG3	GRIN2C	9606.ENSP00000363480	9606.ENSP00000293190	0	0	0	0	0	0.336	0.500	0.648	0.872
DLG3	GRIN2A	9606.ENSP00000363480	9606.ENSP00000332549	0	0	0	0	0	0.506	0.500	0.995	0.998
DLG3	GRIN3A	9606.ENSP00000363480	9606.ENSP00000355155	0	0	0	0	0	0.091	0.360	0.494	0.680
DLG3	GRIN1	9606.ENSP00000363480	9606.ENSP00000360608	0	0	0	0	0.117	0.298	0.400	0.714	0.879
DLG3	DLG4	9606.ENSP00000363480	9606.ENSP00000497806	0	0	0.057	0.965	0	0.547	0.900	0.955	0.997
DLG3	GRIN2B	9606.ENSP00000363480	9606.ENSP00000477455	0	0	0	0	0	0.739	0.400	0.994	0.998
DLG4	GRIN3B	9606.ENSP00000497806	9606.ENSP00000234389	0	0	0	0	0.042	0.091	0.900	0.418	0.942
DLG4	GRIN2D	9606.ENSP00000497806	9606.ENSP00000263269	0	0	0	0	0.074	0.314	0.900	0.670	0.976
DLG4	GRIN2C	9606.ENSP00000497806	9606.ENSP00000293190	0	0	0	0	0.137	0.418	0.900	0.831	0.990
DLG4	GRIN2A	9606.ENSP00000497806	9606.ENSP00000332549	0	0	0	0	0.083	0.908	0.900	0.998	0.999
DLG4	GRIN3A	9606.ENSP00000497806	9606.ENSP00000355155	0	0	0	0	0.083	0.091	0.900	0.645	0.966
DLG4	GRIN1	9606.ENSP00000497806	9606.ENSP00000360608	0	0	0	0	0.197	0.808	0.900	0.937	0.998
DLG4	GRIN2B	9606.ENSP00000497806	9606.ENSP00000477455	0	0	0	0	0.067	0.918	0.900	0.999	0.999
GRIN1	GRIN3B	9606.ENSP00000360608	9606.ENSP00000234389	0	0	0	0.652	0.123	0.782	0.900	0.989	0.999
