#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
LLGL1	PRKCZ	0	0	0	0	0	0	0	0	0	0	0.995
LLGL1	LLGL2	0	0	0	0	0	0	0	0	0	0	0.993
LLGL1	PRKCI	0	0	0	0	0	0	0	0	0	0	0.993
LLGL1	DLG4	0	0	0	0	0	0	0	0	0	0	0.983
LLGL1	DLG1	0	0	0	0	0	0	0	0	0	0	0.975
LLGL1	SCRIB	0	0	0	0	0	0	0	0	0	0	0.964
LLGL1	PARD6B	0	0	0	0	0	0	0	0	0	0	0.949
LLGL1	DLG3	0	0	0	0	0	0	0	0	0	0	0.939
LLGL1	UBE3A	0	0	0	0	0	0	0	0	0	0	0.905
LLGL1	DLG5	0	0	0	0	0	0	0	0	0	0	0.841
