#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
UBE3A	TP53	0	0	0	0	0	0	0	0	0	0	0.999
UBE3A	ENSP00000485133	0	0	0	0	0	0	0	0	0	0	0.997
UBE3A	UBE2L3	0	0	0	0	0	0	0	0	0	0	0.997
UBE3A	PSMD4	0	0	0	0	0	0	0	0	0	0	0.994
UBE3A	RAD23A	0	0	0	0	0	0	0	0	0	0	0.985
UBE3A	UBE2D2	0	0	0	0	0	0	0	0	0	0	0.971
UBE3A	UBE2D1	0	0	0	0	0	0	0	0	0	0	0.971
UBE3A	UBE2A	0	0	0	0	0	0	0	0	0	0	0.964
UBE3A	SUMO1	0	0	0	0	0	0	0	0	0	0	0.948
UBE3A	DLG1	0	0	0	0	0	0	0	0	0	0	0.948
