#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADORA2A	GNAS	0	0	0	0	0	0	0	0	0	0	0.939
ADORA2A	NT5E	0	0	0	0	0	0	0	0	0	0	0.927
ADORA2A	GNAL	0	0	0	0	0	0	0	0	0	0	0.901
ADORA2A	ADORA1	0	0	0	0	0	0	0	0	0	0	0.899
ADORA2A	ADA	0	0	0	0	0	0	0	0	0	0	0.898
ADORA2A	DRD2	0	0	0	0	0	0	0	0	0	0	0.865
ADORA2A	ADORA2B	0	0	0	0	0	0	0	0	0	0	0.864
ADORA2A	CNR1	0	0	0	0	0	0	0	0	0	0	0.843
ADORA2A	ENTPD1	0	0	0	0	0	0	0	0	0	0	0.807
ADORA2A	ENSP00000480012	0	0	0	0	0	0	0	0	0	0	0.802
AKT1	MTOR	0	0	0	0	0	0	0	0	0	0	0.999
AKT1	HSP90AA1	0	0	0	0	0	0	0	0	0	0	0.999
AKT1	FOXO3	0	0	0	0	0	0	0	0	0	0	0.999
AKT1	NOS3	0	0	0	0	0	0	0	0	0	0	0.999
AKT1	PHLPP1	0	0	0	0	0	0	0	0	0	0	0.999
AKT1	APPL1	0	0	0	0	0	0	0	0	0	0	0.999
AKT1	MDM2	0	0	0	0	0	0	0	0	0	0	0.998
AKT1	RICTOR	0	0	0	0	0	0	0	0	0	0	0.998
AKT1	EP300	0	0	0	0	0	0	0	0	0	0	0.998
AKT1	PRKDC	0	0	0	0	0	0	0	0	0	0	0.998
APBA1	APP	0	0	0	0	0	0	0	0	0	0	0.999
APBA1	CASK	0	0	0	0	0	0	0	0	0	0	0.999
APBA1	KIF17	0	0	0	0	0	0	0	0	0	0	0.996
APBA1	STXBP1	0	0	0	0	0	0	0	0	0	0	0.992
APBA1	LIN7C	0	0	0	0	0	0	0	0	0	0	0.987
APBA1	LIN7B	0	0	0	0	0	0	0	0	0	0	0.968
APBA1	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.968
APBA1	LIN7A	0	0	0	0	0	0	0	0	0	0	0.966
APBA1	PPFIA2	0	0	0	0	0	0	0	0	0	0	0.963
APBA1	PPFIA1	0	0	0	0	0	0	0	0	0	0	0.962
