#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EREG	EGFR	0	0	0	0	0	0	0	0	0	0	0.999
EREG	ERBB3	0	0	0	0	0	0	0	0	0	0	0.983
EREG	ERBB4	0	0	0	0	0	0	0	0	0	0	0.983
EREG	ERBB2	0	0	0	0	0	0	0	0	0	0	0.963
EREG	ADAM17	0	0	0	0	0	0	0	0	0	0	0.956
EREG	KRAS	0	0	0	0	0	0	0	0	0	0	0.954
EREG	HRAS	0	0	0	0	0	0	0	0	0	0	0.954
EREG	AREG	0	0	0	0	0	0	0	0	0	0	0.942
EREG	FOS	0	0	0	0	0	0	0	0	0	0	0.922
EREG	LRIG1	0	0	0	0	0	0	0	0	0	0	0.918
