#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
FYN	CBL	0	0	0	0	0	0	0	0	0	0	0.999
FYN	SH2D1A	0	0	0	0	0	0	0	0	0	0	0.998
FYN	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.998
FYN	WAS	0	0	0	0	0	0	0	0	0	0	0.998
FYN	NPHS1	0	0	0	0	0	0	0	0	0	0	0.998
FYN	FYB	0	0	0	0	0	0	0	0	0	0	0.998
FYN	CAV1	0	0	0	0	0	0	0	0	0	0	0.998
FYN	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.997
FYN	PRNP	0	0	0	0	0	0	0	0	0	0	0.997
FYN	MAPT	0	0	0	0	0	0	0	0	0	0	0.997
