#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GPHN	ARHGEF9	0	0	0	0	0	0	0	0	0	0	0.994
GPHN	MOCS2	0	0	0	0	0	0	0	0	0	0	0.994
GPHN	NLGN2	0	0	0	0	0	0	0	0	0	0	0.991
GPHN	GARS	0	0	0	0	0	0	0	0	0	0	0.99
GPHN	GLRB	0	0	0	0	0	0	0	0	0	0	0.988
GPHN	GABRA1	0	0	0	0	0	0	0	0	0	0	0.981
GPHN	MOCS1	0	0	0	0	0	0	0	0	0	0	0.966
GPHN	MTOR	0	0	0	0	0	0	0	0	0	0	0.956
GPHN	GABRA5	0	0	0	0	0	0	0	0	0	0	0.954
GPHN	GABRA2	0	0	0	0	0	0	0	0	0	0	0.952
