#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
LIN7B	CASK	0	0	0	0	0	0	0	0	0	0	0.997
LIN7B	RTKN	0	0	0	0	0	0	0	0	0	0	0.983
LIN7B	LIN7C	0	0	0	0	0	0	0	0	0	0	0.973
LIN7B	APBA1	0	0	0	0	0	0	0	0	0	0	0.968
LIN7B	MPP2	0	0	0	0	0	0	0	0	0	0	0.942
LIN7B	PPFIA2	0	0	0	0	0	0	0	0	0	0	0.933
LIN7B	RIMS1	0	0	0	0	0	0	0	0	0	0	0.929
LIN7B	SNAP25	0	0	0	0	0	0	0	0	0	0	0.928
LIN7B	PPFIA4	0	0	0	0	0	0	0	0	0	0	0.924
LIN7B	PPFIA3	0	0	0	0	0	0	0	0	0	0	0.921
