#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PAK1	ARHGEF7	0	0	0	0	0	0	0	0	0	0	0.999
PAK1	CDC42	0	0	0	0	0	0	0	0	0	0	0.999
PAK1	NCK1	0	0	0	0	0	0	0	0	0	0	0.999
PAK1	RAC1	0	0	0	0	0	0	0	0	0	0	0.999
PAK1	NCK2	0	0	0	0	0	0	0	0	0	0	0.995
PAK1	RAC3	0	0	0	0	0	0	0	0	0	0	0.992
PAK1	ARHGEF6	0	0	0	0	0	0	0	0	0	0	0.989
PAK1	GIT1	0	0	0	0	0	0	0	0	0	0	0.988
PAK1	AKT1	0	0	0	0	0	0	0	0	0	0	0.987
PAK1	GIT2	0	0	0	0	0	0	0	0	0	0	0.983
