#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PIK3R1	PIK3CB	0	0	0	0	0	0	0	0	0	0	0.999
PIK3R1	PIK3CD	0	0	0	0	0	0	0	0	0	0	0.999
PIK3R1	ERBB3	0	0	0	0	0	0	0	0	0	0	0.999
PIK3R1	PTEN	0	0	0	0	0	0	0	0	0	0	0.999
PIK3R1	ESR1	0	0	0	0	0	0	0	0	0	0	0.999
PIK3R1	CBL	0	0	0	0	0	0	0	0	0	0	0.999
PIK3R1	IRS1	0	0	0	0	0	0	0	0	0	0	0.999
PIK3R1	SRC	0	0	0	0	0	0	0	0	0	0	0.999
PIK3R1	IRS2	0	0	0	0	0	0	0	0	0	0	0.999
PIK3R1	GRB2	0	0	0	0	0	0	0	0	0	0	0.999
