#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BCAR1	PTK2	0	0	0	0	0	0	0	0	0	0	0.999
BCAR1	PXN	0	0	0	0	0	0	0	0	0	0	0.999
BCAR1	CRK	0	0	0	0	0	0	0	0	0	0	0.999
BCAR1	DOCK1	0	0	0	0	0	0	0	0	0	0	0.999
BCAR1	CRKL	0	0	0	0	0	0	0	0	0	0	0.999
BCAR1	SRC	0	0	0	0	0	0	0	0	0	0	0.999
BCAR1	PTK2B	0	0	0	0	0	0	0	0	0	0	0.999
BCAR1	VCL	0	0	0	0	0	0	0	0	0	0	0.998
BCAR1	ZYX	0	0	0	0	0	0	0	0	0	0	0.997
BCAR1	FYN	0	0	0	0	0	0	0	0	0	0	0.995
