#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CAMK2B	CAMK2A	0	0	0	0	0	0	0	0	0	0	0.996
CAMK2B	CAMK2D	0	0	0	0	0	0	0	0	0	0	0.996
CAMK2B	CALM2	0	0	0	0	0	0	0	0	0	0	0.979
CAMK2B	CALM3	0	0	0	0	0	0	0	0	0	0	0.978
CAMK2B	DLG4	0	0	0	0	0	0	0	0	0	0	0.967
CAMK2B	GRIA2	0	0	0	0	0	0	0	0	0	0	0.964
CAMK2B	CALM1	0	0	0	0	0	0	0	0	0	0	0.963
CAMK2B	GRIA1	0	0	0	0	0	0	0	0	0	0	0.955
CAMK2B	CAMK2G	0	0	0	0	0	0	0	0	0	0	0.953
CAMK2B	GRIA3	0	0	0	0	0	0	0	0	0	0	0.948
