#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EGFR	ERRFI1	0	0	0	0	0	0	0	0	0	0	0.999
EGFR	NRG1	0	0	0	0	0	0	0	0	0	0	0.999
EGFR	RASA1	0	0	0	0	0	0	0	0	0	0	0.999
EGFR	CBL	0	0	0	0	0	0	0	0	0	0	0.999
EGFR	PLCG1	0	0	0	0	0	0	0	0	0	0	0.999
EGFR	CAV1	0	0	0	0	0	0	0	0	0	0	0.999
EGFR	BTC	0	0	0	0	0	0	0	0	0	0	0.999
EGFR	TGFA	0	0	0	0	0	0	0	0	0	0	0.999
EGFR	STAT3	0	0	0	0	0	0	0	0	0	0	0.999
EGFR	SHC1	0	0	0	0	0	0	0	0	0	0	0.999
