#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GRIP1	GRIA2	0	0	0	0	0	0	0	0	0	0	0.999
GRIP1	PICK1	0	0	0	0	0	0	0	0	0	0	0.998
GRIP1	ESR1	0	0	0	0	0	0	0	0	0	0	0.981
GRIP1	GRIA1	0	0	0	0	0	0	0	0	0	0	0.981
GRIP1	GRIA3	0	0	0	0	0	0	0	0	0	0	0.981
GRIP1	CARM1	0	0	0	0	0	0	0	0	0	0	0.974
GRIP1	GRIA4	0	0	0	0	0	0	0	0	0	0	0.97
GRIP1	NR3C1	0	0	0	0	0	0	0	0	0	0	0.968
GRIP1	EP300	0	0	0	0	0	0	0	0	0	0	0.963
GRIP1	NSF	0	0	0	0	0	0	0	0	0	0	0.957
