#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HRAS	RASA1	0	0	0	0	0	0	0	0	0	0	0.999
HRAS	PIK3CA	0	0	0	0	0	0	0	0	0	0	0.999
HRAS	NF1	0	0	0	0	0	0	0	0	0	0	0.999
HRAS	SOS1	0	0	0	0	0	0	0	0	0	0	0.999
HRAS	BRAF	0	0	0	0	0	0	0	0	0	0	0.999
HRAS	RALGDS	0	0	0	0	0	0	0	0	0	0	0.999
HRAS	RAF1	0	0	0	0	0	0	0	0	0	0	0.999
HRAS	RIN1	0	0	0	0	0	0	0	0	0	0	0.998
HRAS	RASSF5	0	0	0	0	0	0	0	0	0	0	0.998
HRAS	PIK3CG	0	0	0	0	0	0	0	0	0	0	0.998
