#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
HSP90AA1	HDAC6	0	0	0	0	0	0	0	0	0	0	0.999
HSP90AA1	TP53	0	0	0	0	0	0	0	0	0	0	0.999
HSP90AA1	EGFR	0	0	0	0	0	0	0	0	0	0	0.999
HSP90AA1	RAF1	0	0	0	0	0	0	0	0	0	0	0.999
HSP90AA1	STK11	0	0	0	0	0	0	0	0	0	0	0.999
HSP90AA1	PPP5C	0	0	0	0	0	0	0	0	0	0	0.999
HSP90AA1	PPID	0	0	0	0	0	0	0	0	0	0	0.999
HSP90AA1	HSF1	0	0	0	0	0	0	0	0	0	0	0.999
HSP90AA1	AR	0	0	0	0	0	0	0	0	0	0	0.999
HSP90AA1	HSPA4	0	0	0	0	0	0	0	0	0	0	0.999
