#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ITGB3	ITGAV	0	0	0	0	0	0	0	0	0	0	0.999
ITGB3	ITGA2B	0	0	0	0	0	0	0	0	0	0	0.999
ITGB3	FN1	0	0	0	0	0	0	0	0	0	0	0.999
ITGB3	SRC	0	0	0	0	0	0	0	0	0	0	0.999
ITGB3	TLN1	0	0	0	0	0	0	0	0	0	0	0.998
ITGB3	KDR	0	0	0	0	0	0	0	0	0	0	0.998
ITGB3	ITGA5	0	0	0	0	0	0	0	0	0	0	0.997
ITGB3	PTK2	0	0	0	0	0	0	0	0	0	0	0.996
ITGB3	VTN	0	0	0	0	0	0	0	0	0	0	0.996
ITGB3	SYK	0	0	0	0	0	0	0	0	0	0	0.993
