#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MTOR	AKT1S1	0	0	0	0	0	0	0	0	0	0	0.999
MTOR	FKBP1A	0	0	0	0	0	0	0	0	0	0	0.999
MTOR	RPTOR	0	0	0	0	0	0	0	0	0	0	0.999
MTOR	RPS6KB1	0	0	0	0	0	0	0	0	0	0	0.999
MTOR	AKT1	0	0	0	0	0	0	0	0	0	0	0.999
MTOR	TSC2	0	0	0	0	0	0	0	0	0	0	0.999
MTOR	RRAGA	0	0	0	0	0	0	0	0	0	0	0.999
MTOR	DEPTOR	0	0	0	0	0	0	0	0	0	0	0.999
MTOR	MLST8	0	0	0	0	0	0	0	0	0	0	0.999
MTOR	ULK1	0	0	0	0	0	0	0	0	0	0	0.999
