#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PARD6G	PRKCZ	0	0	0	0	0	0	0	0	0	0	0.996
PARD6G	PARD3	0	0	0	0	0	0	0	0	0	0	0.995
PARD6G	PRKCI	0	0	0	0	0	0	0	0	0	0	0.994
PARD6G	CDC42	0	0	0	0	0	0	0	0	0	0	0.992
PARD6G	LLGL2	0	0	0	0	0	0	0	0	0	0	0.951
PARD6G	MPP5	0	0	0	0	0	0	0	0	0	0	0.945
PARD6G	PARD6B	0	0	0	0	0	0	0	0	0	0	0.926
PARD6G	PARD6A	0	0	0	0	0	0	0	0	0	0	0.905
PARD6G	LLGL1	0	0	0	0	0	0	0	0	0	0	0.892
PARD6G	GSK3B	0	0	0	0	0	0	0	0	0	0	0.878
