#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SHC1	ERBB3	0	0	0	0	0	0	0	0	0	0	0.999
SHC1	RET	0	0	0	0	0	0	0	0	0	0	0.999
SHC1	NTRK1	0	0	0	0	0	0	0	0	0	0	0.999
SHC1	SOS1	0	0	0	0	0	0	0	0	0	0	0.999
SHC1	INPP5D	0	0	0	0	0	0	0	0	0	0	0.999
SHC1	NTRK2	0	0	0	0	0	0	0	0	0	0	0.999
SHC1	ERBB2	0	0	0	0	0	0	0	0	0	0	0.999
SHC1	KDR	0	0	0	0	0	0	0	0	0	0	0.999
SHC1	GRB2	0	0	0	0	0	0	0	0	0	0	0.999
SHC1	ERBB4	0	0	0	0	0	0	0	0	0	0	0.999
