#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
YWHAZ	GP1BA	0	0	0	0	0	0	0	0	0	0	0.999
YWHAZ	FOXO3	0	0	0	0	0	0	0	0	0	0	0.999
YWHAZ	CTNNB1	0	0	0	0	0	0	0	0	0	0	0.999
YWHAZ	RAF1	0	0	0	0	0	0	0	0	0	0	0.999
YWHAZ	TSC2	0	0	0	0	0	0	0	0	0	0	0.998
YWHAZ	BRAF	0	0	0	0	0	0	0	0	0	0	0.997
YWHAZ	CDC25B	0	0	0	0	0	0	0	0	0	0	0.995
YWHAZ	CBY1	0	0	0	0	0	0	0	0	0	0	0.995
YWHAZ	AANAT	0	0	0	0	0	0	0	0	0	0	0.995
YWHAZ	MAPT	0	0	0	0	0	0	0	0	0	0	0.993
