#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABL1	RAD51	0	0	0	0	0	0	0	0	0	0	0.999
ABL1	ABI1	0	0	0	0	0	0	0	0	0	0	0.999
ABL1	ABI2	0	0	0	0	0	0	0	0	0	0	0.999
ABL1	ATM	0	0	0	0	0	0	0	0	0	0	0.999
ABL1	BCR	0	0	0	0	0	0	0	0	0	0	0.997
ABL1	CRK	0	0	0	0	0	0	0	0	0	0	0.997
ABL1	CTNNB1	0	0	0	0	0	0	0	0	0	0	0.992
ABL1	CBL	0	0	0	0	0	0	0	0	0	0	0.992
ABL1	MDM2	0	0	0	0	0	0	0	0	0	0	0.991
ABL1	TP53	0	0	0	0	0	0	0	0	0	0	0.99
ADRB2	ARRB2	0	0	0	0	0	0	0	0	0	0	0.999
ADRB2	SLC9A3R1	0	0	0	0	0	0	0	0	0	0	0.999
ADRB2	ARRB1	0	0	0	0	0	0	0	0	0	0	0.998
ADRB2	GNAS	0	0	0	0	0	0	0	0	0	0	0.994
ADRB2	ADRBK1	0	0	0	0	0	0	0	0	0	0	0.994
ADRB2	CFTR	0	0	0	0	0	0	0	0	0	0	0.993
ADRB2	SAG	0	0	0	0	0	0	0	0	0	0	0.99
ADRB2	AKAP12	0	0	0	0	0	0	0	0	0	0	0.989
ADRB2	CACNA1C	0	0	0	0	0	0	0	0	0	0	0.989
ADRB2	AKAP5	0	0	0	0	0	0	0	0	0	0	0.989
AKAP5	DLG4	0	0	0	0	0	0	0	0	0	0	0.998
AKAP5	DLG1	0	0	0	0	0	0	0	0	0	0	0.998
AKAP5	PRKAR2B	0	0	0	0	0	0	0	0	0	0	0.998
AKAP5	PRKCA	0	0	0	0	0	0	0	0	0	0	0.994
AKAP5	ADCY5	0	0	0	0	0	0	0	0	0	0	0.991
AKAP5	ADRB2	0	0	0	0	0	0	0	0	0	0	0.989
AKAP5	CACNA1C	0	0	0	0	0	0	0	0	0	0	0.987
AKAP5	IQGAP1	0	0	0	0	0	0	0	0	0	0	0.985
AKAP5	TRPV1	0	0	0	0	0	0	0	0	0	0	0.984
AKAP5	GRIA1	0	0	0	0	0	0	0	0	0	0	0.978
APOE	LRP8	0	0	0	0	0	0	0	0	0	0	0.999
APOE	LRP1	0	0	0	0	0	0	0	0	0	0	0.999
APOE	APOB	0	0	0	0	0	0	0	0	0	0	0.998
APOE	LDLR	0	0	0	0	0	0	0	0	0	0	0.998
APOE	APP	0	0	0	0	0	0	0	0	0	0	0.998
APOE	MAPT	0	0	0	0	0	0	0	0	0	0	0.997
APOE	VLDLR	0	0	0	0	0	0	0	0	0	0	0.997
APOE	APOA1	0	0	0	0	0	0	0	0	0	0	0.997
APOE	TREM2	0	0	0	0	0	0	0	0	0	0	0.995
APOE	SORL1	0	0	0	0	0	0	0	0	0	0	0.995
ARRB2	ADRB2	0	0	0	0	0	0	0	0	0	0	0.999
ARRB2	NFKBIA	0	0	0	0	0	0	0	0	0	0	0.999
ARRB2	SRC	0	0	0	0	0	0	0	0	0	0	0.998
ARRB2	CXCR4	0	0	0	0	0	0	0	0	0	0	0.998
ARRB2	DRD2	0	0	0	0	0	0	0	0	0	0	0.998
ARRB2	NPHS1	0	0	0	0	0	0	0	0	0	0	0.997
ARRB2	MDM2	0	0	0	0	0	0	0	0	0	0	0.997
ARRB2	AKT1	0	0	0	0	0	0	0	0	0	0	0.996
ARRB2	MAPK1	0	0	0	0	0	0	0	0	0	0	0.996
ARRB2	MAPK10	0	0	0	0	0	0	0	0	0	0	0.996
