#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARRB2	ADRB2	0	0	0	0	0	0	0	0	0	0	0.999
ARRB2	NFKBIA	0	0	0	0	0	0	0	0	0	0	0.999
ARRB2	SRC	0	0	0	0	0	0	0	0	0	0	0.998
ARRB2	CXCR4	0	0	0	0	0	0	0	0	0	0	0.998
ARRB2	DRD2	0	0	0	0	0	0	0	0	0	0	0.998
ARRB2	NPHS1	0	0	0	0	0	0	0	0	0	0	0.997
ARRB2	MDM2	0	0	0	0	0	0	0	0	0	0	0.997
ARRB2	AKT1	0	0	0	0	0	0	0	0	0	0	0.996
ARRB2	MAPK1	0	0	0	0	0	0	0	0	0	0	0.996
ARRB2	MAPK10	0	0	0	0	0	0	0	0	0	0	0.996
