#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BRAF	HRAS	0	0	0	0	0	0	0	0	0	0	0.999
BRAF	KRAS	0	0	0	0	0	0	0	0	0	0	0.999
BRAF	MAP2K1	0	0	0	0	0	0	0	0	0	0	0.999
BRAF	NRAS	0	0	0	0	0	0	0	0	0	0	0.998
BRAF	YWHAZ	0	0	0	0	0	0	0	0	0	0	0.997
BRAF	MAP2K2	0	0	0	0	0	0	0	0	0	0	0.996
BRAF	RAF1	0	0	0	0	0	0	0	0	0	0	0.993
BRAF	IQGAP1	0	0	0	0	0	0	0	0	0	0	0.989
BRAF	YWHAQ	0	0	0	0	0	0	0	0	0	0	0.988
BRAF	MAPK1	0	0	0	0	0	0	0	0	0	0	0.987
