#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DEPTOR	RPTOR	0	0	0	0	0	0	0	0	0	0	0.999
DEPTOR	MLST8	0	0	0	0	0	0	0	0	0	0	0.999
DEPTOR	MTOR	0	0	0	0	0	0	0	0	0	0	0.999
DEPTOR	RICTOR	0	0	0	0	0	0	0	0	0	0	0.999
DEPTOR	AKT1S1	0	0	0	0	0	0	0	0	0	0	0.998
DEPTOR	PRR5	0	0	0	0	0	0	0	0	0	0	0.997
DEPTOR	MAPKAP1	0	0	0	0	0	0	0	0	0	0	0.992
DEPTOR	BTRC	0	0	0	0	0	0	0	0	0	0	0.98
DEPTOR	TTI1	0	0	0	0	0	0	0	0	0	0	0.978
DEPTOR	RHEB	0	0	0	0	0	0	0	0	0	0	0.972
