#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GABARAP	ATG4B	0	0	0	0	0	0	0	0	0	0	0.999
GABARAP	ATG3	0	0	0	0	0	0	0	0	0	0	0.999
GABARAP	ATG7	0	0	0	0	0	0	0	0	0	0	0.999
GABARAP	BNIP3L	0	0	0	0	0	0	0	0	0	0	0.998
GABARAP	WDFY3	0	0	0	0	0	0	0	0	0	0	0.998
GABARAP	SQSTM1	0	0	0	0	0	0	0	0	0	0	0.997
GABARAP	ATG4A	0	0	0	0	0	0	0	0	0	0	0.995
GABARAP	BECN1	0	0	0	0	0	0	0	0	0	0	0.994
GABARAP	ATG5	0	0	0	0	0	0	0	0	0	0	0.994
GABARAP	ATG12	0	0	0	0	0	0	0	0	0	0	0.993
