#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
LIMS1	NCK2	0	0	0	0	0	0	0	0	0	0	0.999
LIMS1	PARVB	0	0	0	0	0	0	0	0	0	0	0.999
LIMS1	RSU1	0	0	0	0	0	0	0	0	0	0	0.999
LIMS1	PARVA	0	0	0	0	0	0	0	0	0	0	0.999
LIMS1	ILK	0	0	0	0	0	0	0	0	0	0	0.999
LIMS1	TMSB4X	0	0	0	0	0	0	0	0	0	0	0.99
LIMS1	PARVG	0	0	0	0	0	0	0	0	0	0	0.959
LIMS1	PXN	0	0	0	0	0	0	0	0	0	0	0.949
LIMS1	TNS1	0	0	0	0	0	0	0	0	0	0	0.942
LIMS1	PPP1CA	0	0	0	0	0	0	0	0	0	0	0.942
