#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MLST8	DEPTOR	0	0	0	0	0	0	0	0	0	0	0.999
MLST8	RICTOR	0	0	0	0	0	0	0	0	0	0	0.999
MLST8	PRR5	0	0	0	0	0	0	0	0	0	0	0.999
MLST8	MAPKAP1	0	0	0	0	0	0	0	0	0	0	0.999
MLST8	MTOR	0	0	0	0	0	0	0	0	0	0	0.999
MLST8	AKT1S1	0	0	0	0	0	0	0	0	0	0	0.999
MLST8	RPTOR	0	0	0	0	0	0	0	0	0	0	0.999
MLST8	RHEB	0	0	0	0	0	0	0	0	0	0	0.998
MLST8	EIF4EBP1	0	0	0	0	0	0	0	0	0	0	0.997
MLST8	TTI1	0	0	0	0	0	0	0	0	0	0	0.997
