#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
STAT3	JAK1	0	0	0	0	0	0	0	0	0	0	0.999
STAT3	SRC	0	0	0	0	0	0	0	0	0	0	0.999
STAT3	HIF1A	0	0	0	0	0	0	0	0	0	0	0.999
STAT3	PIAS3	0	0	0	0	0	0	0	0	0	0	0.999
STAT3	EGFR	0	0	0	0	0	0	0	0	0	0	0.999
STAT3	JAK2	0	0	0	0	0	0	0	0	0	0	0.999
STAT3	HSP90AA1	0	0	0	0	0	0	0	0	0	0	0.999
STAT3	EP300	0	0	0	0	0	0	0	0	0	0	0.999
STAT3	IL10RA	0	0	0	0	0	0	0	0	0	0	0.998
STAT3	NANOG	0	0	0	0	0	0	0	0	0	0	0.998
