#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
TGFBR1	CAV1	0	0	0	0	0	0	0	0	0	0	0.999
TGFBR1	FKBP1A	0	0	0	0	0	0	0	0	0	0	0.999
TGFBR1	SMAD4	0	0	0	0	0	0	0	0	0	0	0.999
TGFBR1	TGFB3	0	0	0	0	0	0	0	0	0	0	0.999
TGFBR1	SMAD2	0	0	0	0	0	0	0	0	0	0	0.999
TGFBR1	ENG	0	0	0	0	0	0	0	0	0	0	0.999
TGFBR1	SMAD7	0	0	0	0	0	0	0	0	0	0	0.999
TGFBR1	SMAD3	0	0	0	0	0	0	0	0	0	0	0.999
TGFBR1	TGFB1	0	0	0	0	0	0	0	0	0	0	0.999
TGFBR1	TGFBR2	0	0	0	0	0	0	0	0	0	0	0.998
