#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
TIAM1	NME1	0	0	0	0	0	0	0	0	0	0	0.998
TIAM1	CD44	0	0	0	0	0	0	0	0	0	0	0.996
TIAM1	EPHB2	0	0	0	0	0	0	0	0	0	0	0.996
TIAM1	RAC1	0	0	0	0	0	0	0	0	0	0	0.995
TIAM1	CDC42	0	0	0	0	0	0	0	0	0	0	0.992
TIAM1	PARD3	0	0	0	0	0	0	0	0	0	0	0.987
TIAM1	AKT1	0	0	0	0	0	0	0	0	0	0	0.983
TIAM1	RHOA	0	0	0	0	0	0	0	0	0	0	0.982
TIAM1	SRC	0	0	0	0	0	0	0	0	0	0	0.98
TIAM1	KRAS	0	0	0	0	0	0	0	0	0	0	0.98
