#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	MDM2	9606.ENSP00000451828	9606.ENSP00000258149	0	0	0	0	0	0.891	0.900	0.980	0.999
AKT1	PHLPP1	9606.ENSP00000451828	9606.ENSP00000262719	0	0	0	0	0	0.638	0.900	0.994	0.999
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.060	0.738	0.900	0.951	0.998
AKT1	HSP90AA1	9606.ENSP00000451828	9606.ENSP00000335153	0	0	0	0	0.049	0.883	0.900	0.996	0.999
AKT1	FOXO3	9606.ENSP00000451828	9606.ENSP00000339527	0	0	0	0	0.103	0.853	0.900	0.928	0.998
AKT1	PDPK1	9606.ENSP00000451828	9606.ENSP00000344220	0	0	0.082	0.744	0.095	0.918	0.900	0.926	0.999
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0	0	0	0.060	0.925	0.900	0.954	0.999
AKT1	HSP90AB1	9606.ENSP00000451828	9606.ENSP00000360609	0	0	0	0	0.049	0.626	0.900	0.996	0.999
AKT1	FOXO1	9606.ENSP00000451828	9606.ENSP00000368880	0	0	0	0	0	0.881	0.900	0.940	0.999
AKT1	CDC42	9606.ENSP00000451828	9606.ENSP00000497733	0	0	0	0	0.092	0.110	0	0.999	0.999
CDC42	MDM2	9606.ENSP00000497733	9606.ENSP00000258149	0	0	0	0	0.060	0.071	0	0.560	0.582
CDC42	PIK3CA	9606.ENSP00000497733	9606.ENSP00000263967	0	0	0	0	0.073	0.504	0.900	0.664	0.982
CDC42	HSP90AA1	9606.ENSP00000497733	9606.ENSP00000335153	0.042	0	0	0	0.102	0.112	0	0.417	0.495
CDC42	MTOR	9606.ENSP00000497733	9606.ENSP00000354558	0	0	0	0	0.054	0.128	0	0.466	0.521
CDC42	HSP90AB1	9606.ENSP00000497733	9606.ENSP00000360609	0.042	0	0	0	0.091	0.112	0	0.415	0.487
FOXO1	MDM2	9606.ENSP00000368880	9606.ENSP00000258149	0	0	0	0	0	0.523	0	0.546	0.774
FOXO1	PIK3CA	9606.ENSP00000368880	9606.ENSP00000263967	0	0	0	0	0.067	0.184	0	0.669	0.726
FOXO1	HSP90AA1	9606.ENSP00000368880	9606.ENSP00000335153	0	0	0	0	0	0.067	0	0.639	0.648
FOXO1	FOXO3	9606.ENSP00000368880	9606.ENSP00000339527	0	0	0	0.895	0.073	0	0.900	0.562	0.955
FOXO1	PDPK1	9606.ENSP00000368880	9606.ENSP00000344220	0	0	0	0	0.088	0.051	0	0.683	0.702
FOXO1	MTOR	9606.ENSP00000368880	9606.ENSP00000354558	0	0	0	0	0	0.050	0	0.755	0.758
FOXO1	HSP90AB1	9606.ENSP00000368880	9606.ENSP00000360609	0	0	0	0	0.042	0.067	0	0.453	0.469
FOXO3	MDM2	9606.ENSP00000339527	9606.ENSP00000258149	0	0	0	0	0.049	0.742	0	0.982	0.995
FOXO3	PIK3CA	9606.ENSP00000339527	9606.ENSP00000263967	0	0	0	0	0.107	0.184	0	0.517	0.617
FOXO3	HSP90AA1	9606.ENSP00000339527	9606.ENSP00000335153	0	0	0	0	0	0.067	0	0.478	0.492
FOXO3	HSP90AB1	9606.ENSP00000339527	9606.ENSP00000360609	0	0	0	0	0.048	0.067	0	0.474	0.492
FOXO3	PDPK1	9606.ENSP00000339527	9606.ENSP00000344220	0	0	0	0	0.154	0.051	0	0.501	0.564
FOXO3	MTOR	9606.ENSP00000339527	9606.ENSP00000354558	0	0	0	0	0.049	0.050	0	0.743	0.747
HSP90AA1	MDM2	9606.ENSP00000335153	9606.ENSP00000258149	0	0	0	0	0.049	0.539	0	0.810	0.909
HSP90AA1	PHLPP1	9606.ENSP00000335153	9606.ENSP00000262719	0	0	0	0	0	0.134	0	0.388	0.447
HSP90AA1	PIK3CA	9606.ENSP00000335153	9606.ENSP00000263967	0	0	0	0	0.049	0	0.500	0.686	0.837
HSP90AA1	PDPK1	9606.ENSP00000335153	9606.ENSP00000344220	0	0	0	0	0.082	0	0.500	0.690	0.845
HSP90AA1	HSP90AB1	9606.ENSP00000335153	9606.ENSP00000360609	0	0	0.048	0.984	0.783	0.896	0.900	0.048	0.997
HSP90AA1	MTOR	9606.ENSP00000335153	9606.ENSP00000354558	0	0	0	0	0.095	0.994	0	0.794	0.998
HSP90AB1	MDM2	9606.ENSP00000360609	9606.ENSP00000258149	0	0	0	0	0	0.080	0	0.743	0.753
HSP90AB1	PHLPP1	9606.ENSP00000360609	9606.ENSP00000262719	0	0	0	0	0	0.134	0	0.388	0.447
HSP90AB1	PIK3CA	9606.ENSP00000360609	9606.ENSP00000263967	0	0	0	0	0.043	0	0	0.638	0.639
HSP90AB1	PDPK1	9606.ENSP00000360609	9606.ENSP00000344220	0	0	0	0	0.075	0	0	0.679	0.690
HSP90AB1	MTOR	9606.ENSP00000360609	9606.ENSP00000354558	0	0	0	0	0.103	0.994	0	0.784	0.998
MDM2	PHLPP1	9606.ENSP00000258149	9606.ENSP00000262719	0	0	0	0	0	0	0	0.595	0.595
MDM2	MTOR	9606.ENSP00000258149	9606.ENSP00000354558	0	0	0	0	0	0	0	0.598	0.598
MDM2	PIK3CA	9606.ENSP00000258149	9606.ENSP00000263967	0	0	0	0	0.094	0	0	0.621	0.642
MDM2	PDPK1	9606.ENSP00000258149	9606.ENSP00000344220	0	0	0	0	0.069	0	0.500	0.299	0.645
MTOR	PHLPP1	9606.ENSP00000354558	9606.ENSP00000262719	0	0	0	0	0.074	0.073	0	0.529	0.561
MTOR	PIK3CA	9606.ENSP00000354558	9606.ENSP00000263967	0	0	0	0.548	0.060	0.166	0.900	0.592	0.963
MTOR	PDPK1	9606.ENSP00000354558	9606.ENSP00000344220	0	0	0	0	0.367	0.272	0	0.696	0.848
PDPK1	PHLPP1	9606.ENSP00000344220	9606.ENSP00000262719	0	0	0	0	0.083	0	0	0.446	0.471
PDPK1	PIK3CA	9606.ENSP00000344220	9606.ENSP00000263967	0	0	0	0	0.126	0.073	0.900	0.744	0.976
PHLPP1	PIK3CA	9606.ENSP00000262719	9606.ENSP00000263967	0	0	0	0	0.044	0	0	0.407	0.409
