#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CACNA1C	SCN5A	9606.ENSP00000266376	9606.ENSP00000328968	0	0	0	0.633	0.042	0.105	0	0.563	0.592
CACNA1C	DLG4	9606.ENSP00000266376	9606.ENSP00000497806	0	0	0	0	0.107	0.066	0	0.615	0.650
CACNA1C	CAMK2B	9606.ENSP00000266376	9606.ENSP00000379098	0	0	0	0	0.081	0.067	0.650	0.358	0.781
CACNA1C	CAMK2A	9606.ENSP00000266376	9606.ENSP00000500386	0	0.001	0	0	0.100	0.067	0.650	0.591	0.863
CACNA1C	PPP3CA	9606.ENSP00000266376	9606.ENSP00000378323	0	0	0	0	0.058	0.095	0.900	0.238	0.926
CACNA1C	CALM1	9606.ENSP00000266376	9606.ENSP00000499717	0	0	0	0	0	0.967	0	0.437	0.981
CALM1	CAMK1	9606.ENSP00000499717	9606.ENSP00000256460	0	0	0	0	0.068	0.936	0.700	0.155	0.982
CALM1	ITPKA	9606.ENSP00000499717	9606.ENSP00000260386	0	0	0	0	0	0.914	0.900	0.105	0.991
CALM1	NOS3	9606.ENSP00000499717	9606.ENSP00000297494	0	0	0	0	0	0.980	0.500	0.176	0.991
CALM1	SCN5A	9606.ENSP00000499717	9606.ENSP00000328968	0	0	0	0	0	0.976	0	0.451	0.986
CALM1	MYLK	9606.ENSP00000499717	9606.ENSP00000353452	0	0	0	0	0.049	0.970	0.700	0.179	0.992
CALM1	PPP3CA	9606.ENSP00000499717	9606.ENSP00000378323	0	0	0	0	0.067	0.930	0.700	0.375	0.986
CALM1	CAMK2B	9606.ENSP00000499717	9606.ENSP00000379098	0	0	0	0	0.061	0.952	0.800	0.360	0.993
CALM1	DLG4	9606.ENSP00000499717	9606.ENSP00000497806	0	0	0	0	0	0.906	0.800	0.108	0.981
CALM1	CAMK2A	9606.ENSP00000499717	9606.ENSP00000500386	0	0	0	0	0.061	0.942	0.800	0.341	0.991
CAMK1	PPP3CA	9606.ENSP00000256460	9606.ENSP00000378323	0	0	0	0	0.045	0.094	0	0.439	0.473
CAMK1	NOS3	9606.ENSP00000256460	9606.ENSP00000297494	0	0	0	0	0.063	0.074	0.900	0.353	0.936
CAMK2A	ITPKA	9606.ENSP00000500386	9606.ENSP00000260386	0	0	0	0	0.081	0.091	0	0.499	0.545
CAMK2A	NOS3	9606.ENSP00000500386	9606.ENSP00000297494	0	0	0	0	0.062	0.292	0.900	0.081	0.930
CAMK2A	SCN5A	9606.ENSP00000500386	9606.ENSP00000328968	0	0	0	0	0.062	0.067	0.900	0.183	0.919
CAMK2A	PPP3CA	9606.ENSP00000500386	9606.ENSP00000378323	0	0	0	0	0.232	0.063	0	0.521	0.625
CAMK2A	CAMK2B	9606.ENSP00000500386	9606.ENSP00000379098	0	0	0.051	0.979	0.208	0.944	0.900	0.901	0.999
CAMK2A	DLG4	9606.ENSP00000500386	9606.ENSP00000497806	0	0	0	0	0.158	0.167	0.400	0.832	0.920
CAMK2B	NOS3	9606.ENSP00000379098	9606.ENSP00000297494	0	0	0	0	0.062	0	0.900	0	0.902
CAMK2B	SCN5A	9606.ENSP00000379098	9606.ENSP00000328968	0	0	0	0	0.056	0.067	0.900	0.204	0.920
CAMK2B	DLG4	9606.ENSP00000379098	9606.ENSP00000497806	0	0	0	0	0.104	0.128	0.400	0.682	0.831
