#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CREB1	TAF4	9606.ENSP00000387699	9606.ENSP00000252996	0	0	0	0	0.063	0.292	0.800	0.985	0.997
CREB1	CREBBP	9606.ENSP00000387699	9606.ENSP00000262367	0	0	0	0	0.155	0.996	0.900	0.997	0.999
CREB1	EP300	9606.ENSP00000387699	9606.ENSP00000263253	0	0	0	0	0.149	0.875	0.900	0.997	0.999
CREB1	PPARGC1A	9606.ENSP00000387699	9606.ENSP00000264867	0	0	0	0	0.069	0	0.900	0.963	0.996
CREB1	TP53	9606.ENSP00000387699	9606.ENSP00000269305	0	0	0	0	0.049	0.776	0	0.992	0.998
CREB1	FOS	9606.ENSP00000387699	9606.ENSP00000306245	0	0	0	0	0.052	0	0.500	0.996	0.998
CREB1	PRKACA	9606.ENSP00000387699	9606.ENSP00000309591	0	0	0	0	0.042	0.510	0.900	0.940	0.996
CREB1	CRTC1	9606.ENSP00000387699	9606.ENSP00000345001	0	0	0	0	0	0.440	0.900	0.972	0.998
CREB1	CRTC2	9606.ENSP00000387699	9606.ENSP00000357622	0	0	0	0	0.049	0.927	0.900	0.997	0.999
CREB1	JUN	9606.ENSP00000387699	9606.ENSP00000360266	0	0	0	0	0	0.400	0	0.997	0.998
CREBBP	TAF4	9606.ENSP00000262367	9606.ENSP00000252996	0	0	0	0	0.134	0	0	0.541	0.585
CREBBP	CRTC1	9606.ENSP00000262367	9606.ENSP00000345001	0	0	0	0	0.053	0.292	0	0.447	0.596
CREBBP	PRKACA	9606.ENSP00000262367	9606.ENSP00000309591	0	0	0	0	0.042	0	0.650	0.549	0.835
CREBBP	PPARGC1A	9606.ENSP00000262367	9606.ENSP00000264867	0	0	0	0	0.063	0.292	0	0.805	0.860
CREBBP	FOS	9606.ENSP00000262367	9606.ENSP00000306245	0	0	0	0	0.067	0.630	0	0.848	0.943
CREBBP	CRTC2	9606.ENSP00000262367	9606.ENSP00000357622	0	0	0	0	0.099	0.258	0.800	0.897	0.984
CREBBP	JUN	9606.ENSP00000262367	9606.ENSP00000360266	0	0	0	0	0.049	0.839	0	0.969	0.994
CREBBP	TP53	9606.ENSP00000262367	9606.ENSP00000269305	0	0	0	0	0	0.998	0.900	0.996	0.999
CREBBP	EP300	9606.ENSP00000262367	9606.ENSP00000263253	0	0	0.062	0.956	0.839	0.782	0.900	0.983	0.999
CRTC1	EP300	9606.ENSP00000345001	9606.ENSP00000263253	0	0	0	0	0.047	0.292	0	0.265	0.460
CRTC1	PPARGC1A	9606.ENSP00000345001	9606.ENSP00000264867	0	0	0	0	0	0	0.400	0.459	0.661
CRTC1	PRKACA	9606.ENSP00000345001	9606.ENSP00000309591	0	0	0	0	0.072	0	0	0.496	0.512
CRTC1	CRTC2	9606.ENSP00000345001	9606.ENSP00000357622	0	0	0.078	0.782	0.054	0	0.900	0.220	0.922
CRTC2	TAF4	9606.ENSP00000357622	9606.ENSP00000252996	0	0	0	0	0.042	0	0	0.498	0.499
CRTC2	EP300	9606.ENSP00000357622	9606.ENSP00000263253	0	0	0	0	0.094	0.312	0.800	0.728	0.961
CRTC2	PPARGC1A	9606.ENSP00000357622	9606.ENSP00000264867	0	0	0	0	0.051	0	0.400	0.870	0.919
CRTC2	PRKACA	9606.ENSP00000357622	9606.ENSP00000309591	0	0	0	0	0.061	0	0	0.410	0.422
EP300	TAF4	9606.ENSP00000263253	9606.ENSP00000252996	0	0	0	0	0.083	0	0	0.658	0.672
EP300	PRKACA	9606.ENSP00000263253	9606.ENSP00000309591	0	0	0	0	0.047	0	0.650	0.589	0.851
EP300	FOS	9606.ENSP00000263253	9606.ENSP00000306245	0	0	0	0	0.067	0.740	0.500	0.737	0.964
EP300	PPARGC1A	9606.ENSP00000263253	9606.ENSP00000264867	0	0	0	0	0.063	0.292	0.800	0.935	0.990
EP300	TP53	9606.ENSP00000263253	9606.ENSP00000269305	0	0	0	0	0.049	0.999	0.900	0.998	0.999
EP300	JUN	9606.ENSP00000263253	9606.ENSP00000360266	0	0	0	0	0.044	0.885	0.500	0.991	0.999
FOS	TP53	9606.ENSP00000306245	9606.ENSP00000269305	0	0	0	0	0.053	0.230	0.500	0.884	0.952
FOS	PRKACA	9606.ENSP00000306245	9606.ENSP00000309591	0	0	0	0	0	0.086	0.900	0.594	0.959
FOS	JUN	9606.ENSP00000306245	9606.ENSP00000360266	0	0	0	0	0.690	0.999	0.900	0.999	0.999
JUN	TAF4	9606.ENSP00000360266	9606.ENSP00000252996	0	0	0	0	0	0.292	0	0.275	0.465
JUN	PPARGC1A	9606.ENSP00000360266	9606.ENSP00000264867	0	0	0	0	0	0	0	0.700	0.700
JUN	TP53	9606.ENSP00000360266	9606.ENSP00000269305	0	0	0	0	0	0.324	0.500	0.992	0.997
JUN	PRKACA	9606.ENSP00000360266	9606.ENSP00000309591	0	0	0	0	0	0	0.900	0.650	0.963
PPARGC1A	TAF4	9606.ENSP00000264867	9606.ENSP00000252996	0	0	0	0	0	0	0.900	0.372	0.934
PPARGC1A	PRKACA	9606.ENSP00000264867	9606.ENSP00000309591	0	0	0	0	0	0	0	0.708	0.708
PPARGC1A	TP53	9606.ENSP00000264867	9606.ENSP00000269305	0	0	0	0	0	0.292	0	0.847	0.887
PRKACA	TP53	9606.ENSP00000309591	9606.ENSP00000269305	0	0	0	0	0.049	0	0	0.520	0.524
TAF4	TP53	9606.ENSP00000252996	9606.ENSP00000269305	0	0	0	0	0	0	0.400	0.250	0.530
