#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACVR1	FKBP1A	9606.ENSP00000405004	9606.ENSP00000383003	0	0	0	0	0	0.926	0	0.976	0.998
ACVR1	TGFBR1	9606.ENSP00000405004	9606.ENSP00000447297	0	0	0.066	0.925	0.042	0.350	0.540	0.876	0.960
CALM3	PPP3R1	9606.ENSP00000291295	9606.ENSP00000234310	0	0	0	0.821	0.086	0.456	0.650	0.899	0.980
CALM3	MTOR	9606.ENSP00000291295	9606.ENSP00000354558	0	0	0	0	0	0	0	0.714	0.714
CALM3	FKBP1A	9606.ENSP00000291295	9606.ENSP00000383003	0	0	0	0	0.253	0.304	0	0.990	0.994
CALM3	CALML5	9606.ENSP00000291295	9606.ENSP00000369689	0	0	0.072	0.937	0	0	0.900	0.969	0.996
CALM3	CALML3	9606.ENSP00000291295	9606.ENSP00000315299	0	0	0.050	0.981	0	0	0.900	0.968	0.996
CALM3	RYR1	9606.ENSP00000291295	9606.ENSP00000352608	0	0	0	0	0	0.938	0.900	0.979	0.999
CALML3	PPP3R1	9606.ENSP00000315299	9606.ENSP00000234310	0	0	0	0.805	0.061	0.098	0.650	0.859	0.952
CALML3	MTOR	9606.ENSP00000315299	9606.ENSP00000354558	0	0	0	0	0	0	0	0.707	0.707
CALML3	CALML5	9606.ENSP00000315299	9606.ENSP00000369689	0	0	0.077	0.926	0.162	0	0.900	0.632	0.967
CALML3	FKBP1A	9606.ENSP00000315299	9606.ENSP00000383003	0	0	0	0	0.236	0.304	0	0.986	0.992
CALML3	RYR1	9606.ENSP00000315299	9606.ENSP00000352608	0	0	0	0	0.047	0.409	0.900	0.989	0.999
CALML5	PPP3R1	9606.ENSP00000369689	9606.ENSP00000234310	0	0	0	0.754	0.061	0.098	0.650	0.865	0.954
CALML5	RYR1	9606.ENSP00000369689	9606.ENSP00000352608	0	0	0	0	0.060	0.409	0.900	0.989	0.999
CALML5	MTOR	9606.ENSP00000369689	9606.ENSP00000354558	0	0	0	0	0	0	0	0.706	0.706
CALML5	FKBP1A	9606.ENSP00000369689	9606.ENSP00000383003	0	0	0	0	0.236	0.304	0	0.986	0.992
FKBP1A	PPP3R1	9606.ENSP00000383003	9606.ENSP00000234310	0	0	0	0	0.112	0.973	0.500	0.773	0.996
FKBP1A	RPTOR	9606.ENSP00000383003	9606.ENSP00000307272	0	0	0	0	0.081	0.903	0	0.996	0.999
FKBP1A	RYR1	9606.ENSP00000383003	9606.ENSP00000352608	0	0	0	0	0	0.857	0.720	0.997	0.999
FKBP1A	MTOR	9606.ENSP00000383003	9606.ENSP00000354558	0	0	0	0	0.049	0.993	0	0.997	0.999
FKBP1A	MLST8	9606.ENSP00000383003	9606.ENSP00000457870	0	0	0	0	0.048	0.810	0	0.981	0.996
FKBP1A	TGFBR1	9606.ENSP00000383003	9606.ENSP00000447297	0	0	0	0	0.053	0.981	0.900	0.988	0.999
MLST8	RPTOR	9606.ENSP00000457870	9606.ENSP00000307272	0	0	0	0	0.056	0.996	0.900	0.999	0.999
MLST8	MTOR	9606.ENSP00000457870	9606.ENSP00000354558	0	0	0	0	0.049	0.999	0.900	0.998	0.999
MTOR	RPTOR	9606.ENSP00000354558	9606.ENSP00000307272	0	0	0	0	0.301	0.999	0.900	0.999	0.999
