#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ANKRA2	HDAC5	9606.ENSP00000296785	9606.ENSP00000225983	0	0	0	0	0	0.602	0	0.622	0.843
ANKRA2	HDAC4	9606.ENSP00000296785	9606.ENSP00000264606	0	0	0	0	0	0.963	0	0.893	0.995
HDAC4	HDAC5	9606.ENSP00000264606	9606.ENSP00000225983	0	0	0.062	0.955	0.082	0.510	0.900	0.471	0.973
HDAC4	NUP155	9606.ENSP00000264606	9606.ENSP00000231498	0	0	0	0	0.074	0.525	0.400	0.888	0.966
HDAC4	MEF2A	9606.ENSP00000264606	9606.ENSP00000453095	0	0	0	0	0.112	0.801	0	0.863	0.973
HDAC4	HSP90AA1	9606.ENSP00000264606	9606.ENSP00000335153	0	0	0	0	0.046	0.175	0	0.971	0.975
HDAC4	MEF2C	9606.ENSP00000264606	9606.ENSP00000340874	0	0	0	0	0.067	0.865	0	0.888	0.984
HDAC4	YWHAG	9606.ENSP00000264606	9606.ENSP00000306330	0	0	0	0	0.066	0.982	0	0.422	0.989
HDAC4	RUNX2	9606.ENSP00000264606	9606.ENSP00000360493	0	0	0	0	0.062	0.637	0.700	0.979	0.997
HDAC4	NCOR2	9606.ENSP00000264606	9606.ENSP00000384018	0	0	0	0	0.077	0.978	0.500	0.931	0.999
HDAC4	NCOR1	9606.ENSP00000264606	9606.ENSP00000268712	0	0	0	0	0.049	0.828	0.500	0.992	0.999
HDAC5	HSP90AA1	9606.ENSP00000225983	9606.ENSP00000335153	0	0	0	0	0.046	0.328	0	0.282	0.500
HDAC5	RUNX2	9606.ENSP00000225983	9606.ENSP00000360493	0	0	0	0	0.055	0.525	0	0.398	0.706
HDAC5	YWHAG	9606.ENSP00000225983	9606.ENSP00000306330	0	0	0	0	0.046	0.705	0	0.053	0.710
HDAC5	MEF2C	9606.ENSP00000225983	9606.ENSP00000340874	0	0	0	0	0.067	0.466	0	0.859	0.924
HDAC5	MEF2A	9606.ENSP00000225983	9606.ENSP00000453095	0	0	0	0	0.108	0.711	0	0.743	0.928
HDAC5	NCOR2	9606.ENSP00000225983	9606.ENSP00000384018	0	0	0	0	0.084	0.572	0.500	0.751	0.944
HDAC5	NCOR1	9606.ENSP00000225983	9606.ENSP00000268712	0	0	0	0	0.049	0.787	0.500	0.820	0.979
HSP90AA1	NCOR1	9606.ENSP00000335153	9606.ENSP00000268712	0	0	0	0	0.143	0	0	0.898	0.909
HSP90AA1	YWHAG	9606.ENSP00000335153	9606.ENSP00000306330	0	0	0	0	0.147	0.177	0	0.592	0.689
MEF2A	NCOR1	9606.ENSP00000453095	9606.ENSP00000268712	0	0	0	0	0.087	0	0	0.537	0.559
MEF2A	MEF2C	9606.ENSP00000453095	9606.ENSP00000340874	0	0	0.056	0.947	0.083	0.628	0.750	0.375	0.940
MEF2A	NCOR2	9606.ENSP00000453095	9606.ENSP00000384018	0	0	0	0	0.062	0	0	0.516	0.527
MEF2C	RUNX2	9606.ENSP00000340874	9606.ENSP00000360493	0	0	0	0	0	0	0	0.506	0.506
MEF2C	NCOR2	9606.ENSP00000340874	9606.ENSP00000384018	0	0	0	0	0.055	0	0	0.645	0.650
NCOR1	RUNX2	9606.ENSP00000268712	9606.ENSP00000360493	0	0	0	0	0	0	0	0.460	0.459
NCOR1	NCOR2	9606.ENSP00000268712	9606.ENSP00000384018	0	0	0	0.846	0.122	0.622	0.800	0.985	0.998
