#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AHSA1	FKBP4	9606.ENSP00000216479	9606.ENSP00000001008	0	0	0	0	0.392	0.613	0	0.894	0.973
AHSA1	STUB1	9606.ENSP00000216479	9606.ENSP00000219548	0	0	0	0	0.063	0	0	0.710	0.716
AHSA1	DNAJB1	9606.ENSP00000216479	9606.ENSP00000254322	0	0	0	0	0.503	0.071	0	0.795	0.897
AHSA1	CDC37	9606.ENSP00000216479	9606.ENSP00000222005	0	0	0	0	0.119	0.493	0	0.934	0.968
AHSA1	HSP90AA1	9606.ENSP00000216479	9606.ENSP00000335153	0	0	0	0	0.477	0.968	0	0.997	0.999
CDC37	FKBP4	9606.ENSP00000222005	9606.ENSP00000001008	0	0	0	0	0.218	0.169	0	0.801	0.859
CDC37	STUB1	9606.ENSP00000222005	9606.ENSP00000219548	0	0	0	0	0.067	0.155	0.540	0.513	0.800
CDC37	TOMM70	9606.ENSP00000222005	9606.ENSP00000284320	0	0	0	0	0.064	0	0	0.456	0.469
CDC37	TP53	9606.ENSP00000222005	9606.ENSP00000269305	0	0	0	0	0.048	0	0	0.578	0.581
CDC37	ERBB2	9606.ENSP00000222005	9606.ENSP00000269571	0	0	0	0	0	0.218	0.500	0.745	0.891
CDC37	EGFR	9606.ENSP00000222005	9606.ENSP00000275493	0	0	0	0	0.047	0.627	0.500	0.589	0.917
CDC37	DNAJB1	9606.ENSP00000222005	9606.ENSP00000254322	0	0	0	0	0.116	0.507	0	0.899	0.952
CDC37	HSP90AA1	9606.ENSP00000222005	9606.ENSP00000335153	0	0	0	0	0.134	0.995	0.800	0.999	0.999
DNAJB1	FKBP4	9606.ENSP00000254322	9606.ENSP00000001008	0	0	0	0	0.115	0.071	0.105	0.949	0.957
DNAJB1	STUB1	9606.ENSP00000254322	9606.ENSP00000219548	0	0	0	0	0.064	0.297	0	0.971	0.979
DNAJB1	NR3C1	9606.ENSP00000254322	9606.ENSP00000231509	0	0	0	0	0.057	0.045	0	0.590	0.598
DNAJB1	TP53	9606.ENSP00000254322	9606.ENSP00000269305	0	0	0	0	0.055	0.668	0	0.858	0.951
DNAJB1	HSP90AA1	9606.ENSP00000254322	9606.ENSP00000335153	0.042	0	0	0	0.374	0.133	0.500	0.999	0.999
EGFR	STUB1	9606.ENSP00000275493	9606.ENSP00000219548	0	0	0	0	0.047	0.823	0	0.621	0.930
EGFR	NR3C1	9606.ENSP00000275493	9606.ENSP00000231509	0	0	0	0	0.042	0.648	0	0.646	0.870
EGFR	TP53	9606.ENSP00000275493	9606.ENSP00000269305	0	0	0	0	0	0.329	0	0.919	0.943
EGFR	ERBB2	9606.ENSP00000275493	9606.ENSP00000269571	0	0	0.064	0.939	0.080	0.998	0.900	0.983	0.999
EGFR	HSP90AA1	9606.ENSP00000275493	9606.ENSP00000335153	0	0	0	0	0.049	0.854	0.500	0.993	0.999
ERBB2	STUB1	9606.ENSP00000269571	9606.ENSP00000219548	0	0	0	0	0	0.820	0.400	0.849	0.982
ERBB2	TP53	9606.ENSP00000269571	9606.ENSP00000269305	0	0	0	0	0.060	0.172	0	0.924	0.935
ERBB2	HSP90AA1	9606.ENSP00000269571	9606.ENSP00000335153	0	0	0	0	0	0.898	0.500	0.985	0.999
FKBP4	TOMM70	9606.ENSP00000001008	9606.ENSP00000284320	0	0	0	0	0.121	0	0	0.617	0.649
FKBP4	TP53	9606.ENSP00000001008	9606.ENSP00000269305	0	0	0	0	0	0.292	0	0.547	0.666
FKBP4	STUB1	9606.ENSP00000001008	9606.ENSP00000219548	0	0	0	0	0.092	0	0	0.668	0.685
FKBP4	NR3C1	9606.ENSP00000001008	9606.ENSP00000231509	0	0	0	0	0.049	0.643	0.800	0.954	0.996
FKBP4	HSP90AA1	9606.ENSP00000001008	9606.ENSP00000335153	0	0	0	0	0.332	0.869	0.500	0.998	0.999
HSP90AA1	STUB1	9606.ENSP00000335153	9606.ENSP00000219548	0	0	0	0	0.083	0.983	0.400	0.997	0.999
HSP90AA1	NR3C1	9606.ENSP00000335153	9606.ENSP00000231509	0	0	0	0	0.054	0.994	0.500	0.996	0.999
HSP90AA1	TP53	9606.ENSP00000335153	9606.ENSP00000269305	0	0	0	0	0	0.903	0	0.995	0.999
HSP90AA1	TOMM70	9606.ENSP00000335153	9606.ENSP00000284320	0	0	0	0	0.135	0.772	0.500	0.994	0.999
NR3C1	STUB1	9606.ENSP00000231509	9606.ENSP00000219548	0	0	0	0	0.042	0.619	0.500	0.306	0.856
NR3C1	TP53	9606.ENSP00000231509	9606.ENSP00000269305	0	0	0	0	0	0.510	0	0.875	0.936
STUB1	TP53	9606.ENSP00000219548	9606.ENSP00000269305	0	0	0	0	0.091	0.916	0	0.624	0.968
