#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AHSA1	FKBP4	9606.ENSP00000216479	9606.ENSP00000001008	0	0	0	0	0.392	0.613	0	0.894	0.973
AHSA1	CDK4	9606.ENSP00000216479	9606.ENSP00000257904	0	0	0	0	0.106	0	0	0.515	0.547
AHSA1	STUB1	9606.ENSP00000216479	9606.ENSP00000219548	0	0	0	0	0.063	0	0	0.710	0.716
AHSA1	DNAJB1	9606.ENSP00000216479	9606.ENSP00000254322	0	0	0	0	0.503	0.071	0	0.795	0.897
AHSA1	PPID	9606.ENSP00000216479	9606.ENSP00000303754	0	0	0	0	0.722	0.562	0	0.622	0.950
AHSA1	CDC37	9606.ENSP00000216479	9606.ENSP00000222005	0	0	0	0	0.119	0.493	0	0.934	0.968
AHSA1	HSPA4	9606.ENSP00000216479	9606.ENSP00000302961	0	0	0	0	0.368	0.125	0	0.952	0.971
AHSA1	HSP90AB1	9606.ENSP00000216479	9606.ENSP00000360609	0	0	0	0	0.504	0.938	0	0.995	0.999
AIP	HSP90AB1	9606.ENSP00000279146	9606.ENSP00000360609	0	0	0	0	0.084	0.977	0.800	0.995	0.999
CDC37	FKBP4	9606.ENSP00000222005	9606.ENSP00000001008	0	0	0	0	0.218	0.169	0	0.801	0.859
CDC37	STUB1	9606.ENSP00000222005	9606.ENSP00000219548	0	0	0	0	0.067	0.155	0.540	0.513	0.800
CDC37	TOMM70	9606.ENSP00000222005	9606.ENSP00000284320	0	0	0	0	0.064	0	0	0.456	0.469
CDC37	PPID	9606.ENSP00000222005	9606.ENSP00000303754	0	0	0	0	0.150	0.218	0	0.854	0.895
CDC37	DNAJB1	9606.ENSP00000222005	9606.ENSP00000254322	0	0	0	0	0.116	0.507	0	0.899	0.952
CDC37	HSPA4	9606.ENSP00000222005	9606.ENSP00000302961	0	0	0	0	0.224	0.100	0	0.993	0.995
CDC37	HSP90AB1	9606.ENSP00000222005	9606.ENSP00000360609	0	0	0	0	0.155	0.992	0.800	0.998	0.999
CDC37	CDK4	9606.ENSP00000222005	9606.ENSP00000257904	0	0	0	0	0.065	0.989	0	0.996	0.999
CDK4	FKBP4	9606.ENSP00000257904	9606.ENSP00000001008	0	0	0	0	0.120	0	0	0.502	0.543
CDK4	STUB1	9606.ENSP00000257904	9606.ENSP00000219548	0	0	0	0	0.126	0.165	0	0.334	0.471
CDK4	HSPA4	9606.ENSP00000257904	9606.ENSP00000302961	0	0	0	0	0.069	0.100	0	0.440	0.490
CDK4	HSP90AB1	9606.ENSP00000257904	9606.ENSP00000360609	0	0	0	0	0.165	0.962	0	0.991	0.999
DNAJB1	FKBP4	9606.ENSP00000254322	9606.ENSP00000001008	0	0	0	0	0.115	0.071	0.105	0.949	0.957
DNAJB1	STUB1	9606.ENSP00000254322	9606.ENSP00000219548	0	0	0	0	0.064	0.297	0	0.971	0.979
DNAJB1	PPID	9606.ENSP00000254322	9606.ENSP00000303754	0	0	0	0	0.425	0.502	0	0.654	0.892
DNAJB1	HSP90AB1	9606.ENSP00000254322	9606.ENSP00000360609	0.042	0	0	0	0.486	0.133	0.500	0.999	0.999
DNAJB1	HSPA4	9606.ENSP00000254322	9606.ENSP00000302961	0.041	0	0.276	0	0.290	0.845	0.475	0.999	0.999
FKBP4	TOMM70	9606.ENSP00000001008	9606.ENSP00000284320	0	0	0	0	0.121	0	0	0.617	0.649
FKBP4	STUB1	9606.ENSP00000001008	9606.ENSP00000219548	0	0	0	0	0.092	0	0	0.668	0.685
FKBP4	PPID	9606.ENSP00000001008	9606.ENSP00000303754	0.041	0	0	0.627	0.175	0.095	0.400	0.877	0.937
FKBP4	HSPA4	9606.ENSP00000001008	9606.ENSP00000302961	0	0	0	0	0.288	0.330	0	0.996	0.998
FKBP4	HSP90AB1	9606.ENSP00000001008	9606.ENSP00000360609	0	0	0	0	0.333	0.656	0.500	0.998	0.999
HSP90AB1	STUB1	9606.ENSP00000360609	9606.ENSP00000219548	0	0	0	0	0.075	0.818	0.540	0.997	0.999
HSP90AB1	TOMM70	9606.ENSP00000360609	9606.ENSP00000284320	0	0	0	0	0.164	0.585	0.500	0.995	0.999
HSP90AB1	HSPA4	9606.ENSP00000360609	9606.ENSP00000302961	0	0	0	0	0.509	0.716	0	0.999	0.999
HSP90AB1	PPID	9606.ENSP00000360609	9606.ENSP00000303754	0	0	0	0	0.443	0.643	0.500	0.996	0.999
HSPA4	STUB1	9606.ENSP00000302961	9606.ENSP00000219548	0	0	0	0	0.056	0.995	0	0.998	0.999
HSPA4	TOMM70	9606.ENSP00000302961	9606.ENSP00000284320	0	0	0	0	0.149	0.160	0	0.984	0.988
HSPA4	PPID	9606.ENSP00000302961	9606.ENSP00000303754	0	0	0	0	0.246	0.095	0	0.970	0.977
PPID	STUB1	9606.ENSP00000303754	9606.ENSP00000219548	0	0	0	0	0.057	0	0	0.590	0.597
PPID	TOMM70	9606.ENSP00000303754	9606.ENSP00000284320	0	0	0	0.577	0.131	0	0	0.539	0.582
