#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MYH10	MYH9	9606.ENSP00000353590	9606.ENSP00000216181	0	0	0.051	0.979	0.056	0.666	0.900	0.592	0.985
MYH10	MYL9	9606.ENSP00000353590	9606.ENSP00000279022	0	0	0	0	0.116	0.869	0.900	0.720	0.996
MYH10	MYLK	9606.ENSP00000353590	9606.ENSP00000353452	0	0	0	0	0.113	0.100	0.500	0.574	0.807
MYH10	PPP1CB	9606.ENSP00000353590	9606.ENSP00000378769	0	0	0	0	0.042	0.095	0.500	0.142	0.578
MYH10	PPP1R12A	9606.ENSP00000353590	9606.ENSP00000389168	0	0	0	0	0.052	0.113	0.500	0.238	0.637
MYH10	MYH11	9606.ENSP00000353590	9606.ENSP00000379616	0	0	0.051	0.978	0.056	0	0.900	0.392	0.938
MYH10	MYL6B	9606.ENSP00000353590	9606.ENSP00000450385	0	0	0	0	0.097	0.713	0.900	0.319	0.980
MYH10	MYL6	9606.ENSP00000353590	9606.ENSP00000446955	0	0	0	0	0.059	0.915	0.900	0.694	0.997
MYH11	MYH9	9606.ENSP00000379616	9606.ENSP00000216181	0	0	0.051	0.979	0.060	0	0.900	0.383	0.937
MYH11	MYL9	9606.ENSP00000379616	9606.ENSP00000279022	0	0	0	0	0.291	0.414	0.900	0.707	0.986
MYH11	MYLK	9606.ENSP00000379616	9606.ENSP00000353452	0	0	0	0	0.410	0.100	0.500	0.825	0.947
MYH11	MYLK2	9606.ENSP00000379616	9606.ENSP00000365162	0	0	0	0	0.069	0.068	0	0.447	0.478
MYH11	PPP1CB	9606.ENSP00000379616	9606.ENSP00000378769	0	0	0	0	0	0.095	0.500	0.137	0.575
MYH11	PPP1R12A	9606.ENSP00000379616	9606.ENSP00000389168	0	0	0	0	0.048	0.113	0.500	0.284	0.657
MYH11	MYL6B	9606.ENSP00000379616	9606.ENSP00000450385	0	0	0	0	0.059	0.500	0.900	0.193	0.956
MYH11	MYL6	9606.ENSP00000379616	9606.ENSP00000446955	0	0	0	0	0.079	0.678	0.900	0.462	0.981
MYH9	PPP1CB	9606.ENSP00000216181	9606.ENSP00000378769	0	0	0	0	0.048	0.211	0.500	0.119	0.625
MYH9	PPP1R12A	9606.ENSP00000216181	9606.ENSP00000389168	0	0	0	0	0.063	0.229	0.500	0.283	0.707
MYH9	MYLK	9606.ENSP00000216181	9606.ENSP00000353452	0	0	0	0	0.161	0.215	0.500	0.385	0.770
MYH9	MYL6B	9606.ENSP00000216181	9606.ENSP00000450385	0	0	0	0	0.059	0.668	0.900	0.289	0.974
MYH9	MYL9	9606.ENSP00000216181	9606.ENSP00000279022	0	0	0	0	0.160	0.766	0.900	0.549	0.990
MYH9	MYL6	9606.ENSP00000216181	9606.ENSP00000446955	0	0	0	0	0.545	0.890	0.900	0.737	0.998
MYL6	PPP1R12C	9606.ENSP00000446955	9606.ENSP00000263433	0	0	0	0	0.044	0.104	0.900	0.182	0.920
MYL6	MYL9	9606.ENSP00000446955	9606.ENSP00000279022	0	0	0	0.733	0.117	0.780	0.900	0.381	0.986
