#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
C9orf78	SNRNP40	9606.ENSP00000361524	9606.ENSP00000263694	0	0	0	0	0.067	0.292	0	0.364	0.543
C9orf78	NOSIP	9606.ENSP00000361524	9606.ENSP00000343497	0	0	0	0	0.180	0	0	0.454	0.533
CAV1	NOS3	9606.ENSP00000339191	9606.ENSP00000297494	0	0	0	0	0.044	0.736	0.800	0.995	0.999
CAV1	HSP90AA1	9606.ENSP00000339191	9606.ENSP00000335153	0	0	0	0	0.075	0.292	0.800	0.920	0.988
CAV1	NOSIP	9606.ENSP00000339191	9606.ENSP00000343497	0	0	0	0	0	0	0	0.627	0.627
CAV1	NOS1	9606.ENSP00000339191	9606.ENSP00000477999	0	0	0	0	0	0.045	0	0.640	0.641
CAV1	NOSTRIN	9606.ENSP00000339191	9606.ENSP00000394051	0	0	0	0	0.072	0	0.500	0.740	0.869
CAV1	DNM2	9606.ENSP00000339191	9606.ENSP00000373905	0	0	0	0	0.057	0	0.800	0.884	0.976
DNM2	NOS3	9606.ENSP00000373905	9606.ENSP00000297494	0	0	0	0	0	0	0.500	0.672	0.828
DNM2	HSP90AA1	9606.ENSP00000373905	9606.ENSP00000335153	0	0	0	0	0.066	0.060	0	0.503	0.525
DNM2	NOSIP	9606.ENSP00000373905	9606.ENSP00000343497	0	0	0	0	0.092	0	0	0.523	0.548
DNM2	NOSTRIN	9606.ENSP00000373905	9606.ENSP00000394051	0	0	0	0	0.056	0.071	0.500	0.608	0.805
HSP90AA1	NOS3	9606.ENSP00000335153	9606.ENSP00000297494	0	0	0	0	0	0.789	0.800	0.992	0.999
HSP90AA1	NOSIP	9606.ENSP00000335153	9606.ENSP00000343497	0	0	0	0	0.050	0	0	0.521	0.525
HSP90AA1	NOS1	9606.ENSP00000335153	9606.ENSP00000477999	0	0	0	0	0	0.053	0	0.622	0.627
NOS1	NOS3	9606.ENSP00000477999	9606.ENSP00000297494	0	0	0.061	0.959	0.047	0	0.900	0.078	0.906
NOS1	NOSIP	9606.ENSP00000477999	9606.ENSP00000343497	0	0	0	0	0	0.292	0	0.538	0.658
NOS3	NOSTRIN	9606.ENSP00000297494	9606.ENSP00000394051	0	0	0	0	0.047	0.512	0.500	0.664	0.911
NOS3	NOSIP	9606.ENSP00000297494	9606.ENSP00000343497	0	0	0	0	0	0.510	0.700	0.961	0.993
NOSIP	PRRG2	9606.ENSP00000343497	9606.ENSP00000246794	0	0	0	0	0.047	0	0	0.523	0.525
NOSIP	PGS1	9606.ENSP00000343497	9606.ENSP00000262764	0	0.489	0	0	0.122	0	0	0	0.533
NOSIP	SNRNP40	9606.ENSP00000343497	9606.ENSP00000263694	0	0.836	0	0	0.054	0	0	0.057	0.841
NOSIP	NOSTRIN	9606.ENSP00000343497	9606.ENSP00000394051	0	0	0	0	0.068	0	0	0.674	0.683
