#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NLGN4X	NRXN1	0	0	0	0	0	0	0	0	0	0	0.99
NLGN4X	NRXN2	0	0	0	0	0	0	0	0	0	0	0.99
NLGN4X	NRXN3	0	0	0	0	0	0	0	0	0	0	0.953
NLGN4X	DLG4	0	0	0	0	0	0	0	0	0	0	0.951
NLGN4X	SHANK2	0	0	0	0	0	0	0	0	0	0	0.904
NLGN4X	SHANK1	0	0	0	0	0	0	0	0	0	0	0.873
NLGN4X	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.85
NLGN4X	CNTNAP2	0	0	0	0	0	0	0	0	0	0	0.822
NLGN4X	DLGAP1	0	0	0	0	0	0	0	0	0	0	0.792
NLGN4X	CASK	0	0	0	0	0	0	0	0	0	0	0.792
