#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM10	HBEGF	9606.ENSP00000260408	9606.ENSP00000230990	0	0	0	0	0	0	0.900	0.562	0.954
ADAM10	DLL4	9606.ENSP00000260408	9606.ENSP00000249749	0	0	0	0	0	0.110	0.400	0.489	0.703
ADAM10	JAG1	9606.ENSP00000260408	9606.ENSP00000254958	0	0	0	0	0.049	0.110	0.400	0.552	0.742
ADAM10	NOTCH2	9606.ENSP00000260408	9606.ENSP00000256646	0	0	0	0	0.067	0.110	0.400	0.691	0.825
ADAM10	NRG1	9606.ENSP00000260408	9606.ENSP00000287842	0	0	0	0	0	0	0	0.404	0.404
ADAM10	PXN	9606.ENSP00000260408	9606.ENSP00000267257	0	0	0	0	0.082	0.292	0	0.237	0.461
ADAM10	PRNP	9606.ENSP00000260408	9606.ENSP00000399376	0	0	0	0	0.061	0.078	0	0.447	0.480
ADAM10	MAPT	9606.ENSP00000260408	9606.ENSP00000340820	0	0	0	0	0	0	0	0.486	0.486
ADAM10	HRAS	9606.ENSP00000260408	9606.ENSP00000407586	0	0	0	0	0	0.051	0	0.485	0.490
ADAM10	GRB2	9606.ENSP00000260408	9606.ENSP00000376345	0	0	0	0	0.049	0.510	0	0.231	0.610
ADAM10	SRC	9606.ENSP00000260408	9606.ENSP00000362680	0	0	0	0	0.055	0.150	0	0.650	0.694
ADAM10	DLL1	9606.ENSP00000260408	9606.ENSP00000355718	0	0	0	0	0	0.110	0.400	0.543	0.734
ADAM10	EPHA3	9606.ENSP00000260408	9606.ENSP00000337451	0	0	0	0	0.086	0.292	0.500	0.364	0.767
ADAM10	NOTCH1	9606.ENSP00000260408	9606.ENSP00000498587	0	0	0	0	0.043	0.255	0.750	0.624	0.924
ADAM10	APP	9606.ENSP00000260408	9606.ENSP00000284981	0	0	0	0	0.081	0.351	0.400	0.878	0.950
ADAM10	TSPAN15	9606.ENSP00000260408	9606.ENSP00000362387	0	0	0	0	0	0.556	0.500	0.802	0.952
ADAM10	TSPAN5	9606.ENSP00000260408	9606.ENSP00000307701	0	0	0	0	0.102	0.592	0.500	0.870	0.973
ADAM10	DLG1	9606.ENSP00000260408	9606.ENSP00000345731	0	0	0	0	0.195	0.371	0	0.968	0.982
ADAM22	KCNAB2	9606.ENSP00000265727	9606.ENSP00000367323	0	0	0	0	0.087	0	0	0.469	0.495
ADAM22	CACNG8	9606.ENSP00000265727	9606.ENSP00000270458	0	0	0	0	0.060	0	0.500	0	0.509
ADAM22	DLG1	9606.ENSP00000265727	9606.ENSP00000345731	0	0	0	0	0.049	0.091	0	0.525	0.554
