#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM10	DLG1	9606.ENSP00000260408	9606.ENSP00000345731	0	0	0	0	0.195	0.371	0	0.968	0.982
ADAM22	DLG1	9606.ENSP00000265727	9606.ENSP00000345731	0	0	0	0	0.049	0.091	0	0.525	0.554
ADAM22	KCNA4	9606.ENSP00000265727	9606.ENSP00000328511	0	0	0	0	0.126	0	0	0.541	0.582
ADAM22	DLG2	9606.ENSP00000265727	9606.ENSP00000365272	0	0	0	0	0.116	0.091	0	0.899	0.912
ADAM22	CACNG2	9606.ENSP00000265727	9606.ENSP00000300105	0	0	0	0	0.081	0	0.500	0.874	0.937
ADAM22	DLG4	9606.ENSP00000265727	9606.ENSP00000497806	0	0	0	0	0.106	0.331	0.800	0.981	0.997
ARHGEF7	SHANK1	9606.ENSP00000495631	9606.ENSP00000293441	0	0	0	0.551	0	0.926	0	0.434	0.957
ARHGEF7	DLGAP1	9606.ENSP00000495631	9606.ENSP00000316377	0	0	0	0	0.054	0	0	0.576	0.582
ARHGEF7	ERBB4	9606.ENSP00000495631	9606.ENSP00000342235	0	0	0	0	0	0.045	0	0.426	0.428
ARHGEF7	SHANK2	9606.ENSP00000495631	9606.ENSP00000345193	0	0	0	0	0.043	0.516	0	0.621	0.809
ARHGEF7	PTEN	9606.ENSP00000495631	9606.ENSP00000361021	0	0	0	0	0	0	0	0.422	0.422
ARHGEF7	CTTN	9606.ENSP00000495631	9606.ENSP00000365745	0	0	0	0	0.057	0	0	0.419	0.429
ARHGEF7	SHANK3	9606.ENSP00000495631	9606.ENSP00000489407	0	0	0	0.551	0.045	0.518	0	0.496	0.748
ARHGEF7	DLG4	9606.ENSP00000495631	9606.ENSP00000497806	0	0	0	0	0.097	0	0	0.370	0.406
CACNG2	SHANK1	9606.ENSP00000300105	9606.ENSP00000293441	0	0	0	0	0.115	0	0	0.370	0.418
CACNG2	NLGN1	9606.ENSP00000300105	9606.ENSP00000392500	0	0	0	0	0.062	0	0	0.400	0.413
CACNG2	NRXN1	9606.ENSP00000300105	9606.ENSP00000385142	0	0	0	0	0.155	0	0	0.359	0.435
CACNG2	HOMER1	9606.ENSP00000300105	9606.ENSP00000334382	0	0	0	0	0	0	0	0.446	0.446
CACNG2	GRIK2	9606.ENSP00000300105	9606.ENSP00000397026	0	0	0	0	0.088	0	0.540	0.446	0.747
