#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM10	HBEGF	9606.ENSP00000260408	9606.ENSP00000230990	0	0	0	0	0	0	0.900	0.562	0.954
ADAM10	EREG	9606.ENSP00000260408	9606.ENSP00000244869	0	0	0	0	0.042	0	0	0.413	0.414
ADAM10	NRG1	9606.ENSP00000260408	9606.ENSP00000287842	0	0	0	0	0	0	0	0.404	0.404
ADAM10	ERBB2	9606.ENSP00000260408	9606.ENSP00000269571	0	0	0	0	0.058	0	0	0.433	0.443
ADAM10	CTNNB1	9606.ENSP00000260408	9606.ENSP00000495360	0	0	0	0	0.067	0	0	0.435	0.450
ADAM10	PXN	9606.ENSP00000260408	9606.ENSP00000267257	0	0	0	0	0.082	0.292	0	0.237	0.461
ADAM10	PRNP	9606.ENSP00000260408	9606.ENSP00000399376	0	0	0	0	0.061	0.078	0	0.447	0.480
ADAM10	CALML3	9606.ENSP00000260408	9606.ENSP00000315299	0	0	0	0	0	0	0	0.544	0.544
ADAM10	CALML4	9606.ENSP00000260408	9606.ENSP00000419081	0	0	0	0	0.044	0	0	0.544	0.545
ADAM10	CALM3	9606.ENSP00000260408	9606.ENSP00000291295	0	0	0	0	0	0	0	0.557	0.557
ADAM10	HTT	9606.ENSP00000260408	9606.ENSP00000347184	0	0	0	0	0.049	0	0	0.589	0.592
ADAM10	GRB2	9606.ENSP00000260408	9606.ENSP00000376345	0	0	0	0	0.049	0.510	0	0.231	0.610
ADAM10	AKT1	9606.ENSP00000260408	9606.ENSP00000451828	0	0	0	0	0.049	0	0	0.669	0.672
ADAM10	SRC	9606.ENSP00000260408	9606.ENSP00000362680	0	0	0	0	0.055	0.150	0	0.650	0.694
ADAM10	EGF	9606.ENSP00000260408	9606.ENSP00000265171	0	0	0	0	0.055	0	0.400	0.588	0.746
ADAM10	VDAC1	9606.ENSP00000260408	9606.ENSP00000378487	0	0	0	0	0.060	0	0.720	0.121	0.748
ADAM10	BCL2	9606.ENSP00000260408	9606.ENSP00000381185	0	0	0	0	0	0	0.720	0.324	0.802
ADAM10	DLG1	9606.ENSP00000260408	9606.ENSP00000345731	0	0	0	0	0.195	0.371	0	0.968	0.982
ADAM22	KCNAB2	9606.ENSP00000265727	9606.ENSP00000367323	0	0	0	0	0.087	0	0	0.469	0.495
ADAM22	CACNG8	9606.ENSP00000265727	9606.ENSP00000270458	0	0	0	0	0.060	0	0.500	0	0.509
ADAM22	KCNAB1	9606.ENSP00000265727	9606.ENSP00000419952	0	0	0	0	0.108	0	0	0.492	0.527
ADAM22	DLG1	9606.ENSP00000265727	9606.ENSP00000345731	0	0	0	0	0.049	0.091	0	0.525	0.554
ADAM22	KCNA4	9606.ENSP00000265727	9606.ENSP00000328511	0	0	0	0	0.126	0	0	0.541	0.582
ADAM22	KCNA2	9606.ENSP00000265727	9606.ENSP00000487785	0	0	0	0	0.161	0	0	0.633	0.679
ADAM22	KCNA1	9606.ENSP00000265727	9606.ENSP00000371985	0	0	0	0	0.161	0	0	0.823	0.845
ADAM22	DLG2	9606.ENSP00000265727	9606.ENSP00000365272	0	0	0	0	0.116	0.091	0	0.899	0.912
ADAM22	CACNG2	9606.ENSP00000265727	9606.ENSP00000300105	0	0	0	0	0.081	0	0.500	0.874	0.937
ADAM22	DLG4	9606.ENSP00000265727	9606.ENSP00000497806	0	0	0	0	0.106	0.331	0.800	0.981	0.997
ADORA2A	GNAQ	9606.ENSP00000480012	9606.ENSP00000286548	0	0	0	0	0	0.115	0.900	0.578	0.959
ADORA2A	CALM3	9606.ENSP00000480012	9606.ENSP00000291295	0	0	0	0	0.042	0.326	0	0.308	0.515
ADORA2A	HSPB2	9606.ENSP00000480012	9606.ENSP00000302476	0	0	0	0	0	0	0	0.440	0.440
ADORA2A	GRM5	9606.ENSP00000480012	9606.ENSP00000306138	0	0	0	0	0	0.300	0	0.968	0.976
ADORA2A	CALML3	9606.ENSP00000480012	9606.ENSP00000315299	0	0	0	0	0	0.048	0	0.451	0.455
ADORA2A	SRC	9606.ENSP00000480012	9606.ENSP00000362680	0	0	0	0	0.047	0	0.500	0.270	0.621
ADORA2A	CALML4	9606.ENSP00000480012	9606.ENSP00000419081	0	0	0	0	0	0	0	0.446	0.446
ADORA2A	AKT1	9606.ENSP00000480012	9606.ENSP00000451828	0	0	0	0	0.088	0	0	0.399	0.428
ADORA2A	GRIN2B	9606.ENSP00000480012	9606.ENSP00000477455	0	0	0	0	0	0.054	0	0.406	0.414
AKT1	MAPK12	9606.ENSP00000451828	9606.ENSP00000215659	0	0	0.118	0.615	0.066	0.110	0.900	0.274	0.937
AKT1	TSC2	9606.ENSP00000451828	9606.ENSP00000219476	0	0	0	0	0.125	0.314	0.900	0.856	0.990
AKT1	WASL	9606.ENSP00000451828	9606.ENSP00000223023	0	0	0	0	0	0.088	0	0.945	0.947
AKT1	HBEGF	9606.ENSP00000451828	9606.ENSP00000230990	0	0	0	0	0.068	0	0	0.581	0.592
AKT1	DUSP1	9606.ENSP00000451828	9606.ENSP00000239223	0	0	0	0	0	0.092	0	0.526	0.551
AKT1	EREG	9606.ENSP00000451828	9606.ENSP00000244869	0	0	0	0	0	0	0	0.480	0.480
AKT1	ARHGEF6	9606.ENSP00000451828	9606.ENSP00000250617	0	0	0	0	0.049	0.067	0	0.642	0.655
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.060	0.738	0.900	0.951	0.998
AKT1	CBL	9606.ENSP00000451828	9606.ENSP00000264033	0	0	0	0	0.049	0.130	0	0.750	0.775
AKT1	EGF	9606.ENSP00000451828	9606.ENSP00000265171	0	0	0	0	0	0	0	0.933	0.933
AKT1	ERBB3	9606.ENSP00000451828	9606.ENSP00000267101	0	0	0	0	0	0.328	0	0.791	0.854
AKT1	PXN	9606.ENSP00000451828	9606.ENSP00000267257	0	0	0	0	0.074	0.061	0	0.875	0.881
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.049	0.184	0.900	0.934	0.994
AKT1	ERBB2	9606.ENSP00000451828	9606.ENSP00000269571	0	0	0	0.561	0.060	0.222	0	0.436	0.552
AKT1	PAK1	9606.ENSP00000451828	9606.ENSP00000278568	0	0	0	0.642	0.070	0.715	0	0.981	0.994
AKT1	GRM1	9606.ENSP00000451828	9606.ENSP00000282753	0	0	0	0	0	0.128	0	0.363	0.421
AKT1	GNAQ	9606.ENSP00000451828	9606.ENSP00000286548	0	0	0	0	0.081	0	0	0.766	0.775
AKT1	NRG1	9606.ENSP00000451828	9606.ENSP00000287842	0	0	0	0	0	0.084	0	0.669	0.684
AKT1	PREX2	9606.ENSP00000451828	9606.ENSP00000288368	0	0	0	0	0	0.106	0	0.403	0.444
AKT1	CALM3	9606.ENSP00000451828	9606.ENSP00000291295	0	0	0	0	0.075	0.099	0	0.782	0.802
AKT1	HSPA9	9606.ENSP00000451828	9606.ENSP00000297185	0	0	0	0	0.047	0.394	0	0.540	0.711
AKT1	CFL2	9606.ENSP00000451828	9606.ENSP00000298159	0	0	0	0	0.059	0.071	0	0.662	0.679
AKT1	HSPB2	9606.ENSP00000451828	9606.ENSP00000302476	0	0	0	0	0	0.095	0	0.923	0.927
AKT1	HOMER2	9606.ENSP00000451828	9606.ENSP00000305632	0	0	0	0	0	0.071	0	0.626	0.638
AKT1	GRM5	9606.ENSP00000451828	9606.ENSP00000306138	0	0	0	0	0	0.128	0	0.385	0.440
AKT1	ITPR1	9606.ENSP00000451828	9606.ENSP00000306253	0	0	0	0	0.042	0.440	0	0.967	0.981
AKT1	CYCS	9606.ENSP00000451828	9606.ENSP00000307786	0	0	0	0	0.044	0.045	0	0.811	0.812
AKT1	PAK2	9606.ENSP00000451828	9606.ENSP00000314067	0	0	0	0.644	0.075	0.071	0	0.499	0.532
AKT1	CALML3	9606.ENSP00000451828	9606.ENSP00000315299	0	0	0	0	0	0.099	0	0.701	0.719
AKT1	GRIN2A	9606.ENSP00000451828	9606.ENSP00000332549	0	0	0	0	0	0.077	0	0.646	0.659
AKT1	PTK2	9606.ENSP00000451828	9606.ENSP00000341189	0	0	0	0.572	0.044	0.268	0	0.841	0.879
AKT1	ERBB4	9606.ENSP00000451828	9606.ENSP00000342235	0	0	0	0.564	0	0.091	0	0.560	0.583
