#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CACNG2	DLG4	0	0	0	0	0	0	0	0	0	0	0.999
CACNG2	GRIA1	0	0	0	0	0	0	0	0	0	0	0.999
CACNG2	GRIA2	0	0	0	0	0	0	0	0	0	0	0.995
CACNG2	GRIA3	0	0	0	0	0	0	0	0	0	0	0.984
CACNG2	GRIA4	0	0	0	0	0	0	0	0	0	0	0.975
CACNG2	SHISA9	0	0	0	0	0	0	0	0	0	0	0.973
CACNG2	CACNG1	0	0	0	0	0	0	0	0	0	0	0.962
CACNG2	CACNB4	0	0	0	0	0	0	0	0	0	0	0.951
CACNG2	DLG1	0	0	0	0	0	0	0	0	0	0	0.941
CACNG2	ADAM22	0	0	0	0	0	0	0	0	0	0	0.937
GRIA1	GRIA2	0	0	0	0	0	0	0	0	0	0	0.999
GRIA1	GRIA3	0	0	0	0	0	0	0	0	0	0	0.999
GRIA1	DLG1	0	0	0	0	0	0	0	0	0	0	0.999
GRIA1	CACNG2	0	0	0	0	0	0	0	0	0	0	0.999
GRIA1	CAMK2A	0	0	0	0	0	0	0	0	0	0	0.999
GRIA1	GRIA4	0	0	0	0	0	0	0	0	0	0	0.997
GRIA1	EPB41L1	0	0	0	0	0	0	0	0	0	0	0.997
GRIA1	CACNG8	0	0	0	0	0	0	0	0	0	0	0.996
GRIA1	CNIH2	0	0	0	0	0	0	0	0	0	0	0.995
GRIA1	DLG4	0	0	0	0	0	0	0	0	0	0	0.994
GRIN1	GRIN2A	0	0	0	0	0	0	0	0	0	0	0.999
GRIN1	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.999
GRIN1	GRIN2D	0	0	0	0	0	0	0	0	0	0	0.999
GRIN1	GRIN2C	0	0	0	0	0	0	0	0	0	0	0.999
GRIN1	GRIN3B	0	0	0	0	0	0	0	0	0	0	0.999
GRIN1	GRIN3A	0	0	0	0	0	0	0	0	0	0	0.999
GRIN1	DLG4	0	0	0	0	0	0	0	0	0	0	0.998
GRIN1	CALM3	0	0	0	0	0	0	0	0	0	0	0.996
GRIN1	CALML4	0	0	0	0	0	0	0	0	0	0	0.964
GRIN1	CALML3	0	0	0	0	0	0	0	0	0	0	0.96
GRIN2A	GRIN1	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2A	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2A	GRIN3A	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2A	DLG4	0	0	0	0	0	0	0	0	0	0	0.999
GRIN2A	GRIN2C	0	0	0	0	0	0	0	0	0	0	0.998
GRIN2A	GRIN2D	0	0	0	0	0	0	0	0	0	0	0.998
GRIN2A	DLG3	0	0	0	0	0	0	0	0	0	0	0.998
GRIN2A	GRIN3B	0	0	0	0	0	0	0	0	0	0	0.998
GRIN2A	DLG2	0	0	0	0	0	0	0	0	0	0	0.997
GRIN2A	FYN	0	0	0	0	0	0	0	0	0	0	0.981
