#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CALM1	CAMK1	9606.ENSP00000499717	9606.ENSP00000256460	0	0	0	0	0.068	0.936	0.700	0.155	0.982
CALM1	CAMK4	9606.ENSP00000499717	9606.ENSP00000282356	0	0	0	0	0.067	0.246	0.800	0.204	0.873
CALM1	CALM3	9606.ENSP00000499717	9606.ENSP00000291295	0	0	0.048	0.985	0.102	0.900	0	0.293	0.931
CALM1	CAMKK2	9606.ENSP00000499717	9606.ENSP00000312741	0	0	0	0	0.043	0.333	0.700	0.155	0.816
CALM1	CAMKK1	9606.ENSP00000499717	9606.ENSP00000371188	0	0	0	0	0	0.911	0.700	0.168	0.976
CALM1	CALM2	9606.ENSP00000499717	9606.ENSP00000499797	0	0	0.048	0.985	0.082	0.917	0	0.260	0.939
CALM2	CAMK1	9606.ENSP00000499797	9606.ENSP00000256460	0	0	0	0	0.067	0.933	0	0.545	0.969
CALM2	CAMK4	9606.ENSP00000499797	9606.ENSP00000282356	0	0	0	0	0.067	0.246	0	0.252	0.428
CALM2	CALM3	9606.ENSP00000499797	9606.ENSP00000291295	0	0	0.048	0.985	0.059	0.916	0	0.529	0.959
CALM2	CALML6	9606.ENSP00000499797	9606.ENSP00000304643	0	0	0.058	0.914	0	0	0	0.480	0.489
CALM2	CALML3	9606.ENSP00000499797	9606.ENSP00000315299	0	0	0.050	0.981	0	0.214	0	0.472	0.571
CALM2	CALML5	9606.ENSP00000499797	9606.ENSP00000369689	0	0	0.072	0.937	0	0	0	0.484	0.500
CALM2	CAMKK1	9606.ENSP00000499797	9606.ENSP00000371188	0	0	0	0	0	0.917	0	0.155	0.927
CALM2	CALML4	9606.ENSP00000499797	9606.ENSP00000419081	0	0	0.072	0.920	0	0	0	0.480	0.497
CALM3	CAMK1	9606.ENSP00000291295	9606.ENSP00000256460	0	0	0	0	0.073	0.952	0.650	0.916	0.998
CALM3	CAMK4	9606.ENSP00000291295	9606.ENSP00000282356	0	0	0	0	0.067	0.546	0.900	0.972	0.998
CALM3	CALML4	9606.ENSP00000291295	9606.ENSP00000419081	0	0	0.072	0.920	0	0	0.900	0.969	0.996
CALM3	CALML5	9606.ENSP00000291295	9606.ENSP00000369689	0	0	0.072	0.937	0	0	0.900	0.969	0.996
CALM3	CALML3	9606.ENSP00000291295	9606.ENSP00000315299	0	0	0.050	0.981	0	0	0.900	0.968	0.996
CALM3	CALML6	9606.ENSP00000291295	9606.ENSP00000304643	0	0	0.058	0.914	0	0	0.900	0.969	0.996
CALM3	CAMKK1	9606.ENSP00000291295	9606.ENSP00000371188	0	0	0	0	0.059	0.916	0.900	0.817	0.998
CALM3	CAMKK2	9606.ENSP00000291295	9606.ENSP00000312741	0	0	0	0	0.067	0.343	0.900	0.985	0.999
CALML3	CAMK1	9606.ENSP00000315299	9606.ENSP00000256460	0	0	0	0	0.067	0.275	0.650	0.844	0.958
CALML3	CAMK4	9606.ENSP00000315299	9606.ENSP00000282356	0	0	0	0	0.067	0.246	0.900	0.987	0.998
CALML3	CALML6	9606.ENSP00000315299	9606.ENSP00000304643	0	0	0.063	0.901	0	0	0.900	0.632	0.962
CALML3	CAMKK2	9606.ENSP00000315299	9606.ENSP00000312741	0	0	0	0	0.044	0.072	0.900	0.980	0.998
CALML3	CALML4	9606.ENSP00000315299	9606.ENSP00000419081	0	0	0.081	0.898	0	0	0.900	0.632	0.963
CALML3	CALML5	9606.ENSP00000315299	9606.ENSP00000369689	0	0	0.077	0.926	0.162	0	0.900	0.632	0.967
CALML3	CAMKK1	9606.ENSP00000315299	9606.ENSP00000371188	0	0	0	0	0	0.060	0.900	0.873	0.987
CALML4	CAMK1	9606.ENSP00000419081	9606.ENSP00000256460	0	0	0	0	0.067	0.129	0.650	0.844	0.949
CALML4	CAMK4	9606.ENSP00000419081	9606.ENSP00000282356	0	0	0	0	0.067	0.129	0.900	0.986	0.998
CALML4	CALML6	9606.ENSP00000419081	9606.ENSP00000304643	0	0	0	0.738	0	0	0.900	0.633	0.961
CALML4	CAMKK2	9606.ENSP00000419081	9606.ENSP00000312741	0	0	0	0	0	0.045	0.900	0.978	0.997
CALML4	CALML5	9606.ENSP00000419081	9606.ENSP00000369689	0	0	0.112	0.804	0	0	0.900	0.633	0.964
CALML4	CAMKK1	9606.ENSP00000419081	9606.ENSP00000371188	0	0	0	0	0	0.045	0.900	0.861	0.985
CALML5	CAMK1	9606.ENSP00000369689	9606.ENSP00000256460	0	0	0	0	0.067	0.246	0.650	0.844	0.956
CALML5	CAMK4	9606.ENSP00000369689	9606.ENSP00000282356	0	0	0	0	0.067	0.246	0.900	0.987	0.998
CALML5	CALML6	9606.ENSP00000369689	9606.ENSP00000304643	0	0	0.081	0.828	0	0	0.900	0.633	0.963
CALML5	CAMKK2	9606.ENSP00000369689	9606.ENSP00000312741	0	0	0	0	0	0.072	0.900	0.980	0.998
CALML5	CAMKK1	9606.ENSP00000369689	9606.ENSP00000371188	0	0	0	0	0	0.060	0.900	0.873	0.987
CALML6	CAMK1	9606.ENSP00000304643	9606.ENSP00000256460	0	0	0	0	0.067	0.129	0.650	0.833	0.946
CALML6	CAMK4	9606.ENSP00000304643	9606.ENSP00000282356	0	0	0	0	0.067	0.129	0.900	0.986	0.998
CALML6	CAMKK1	9606.ENSP00000304643	9606.ENSP00000371188	0	0	0	0	0	0.045	0.900	0.861	0.985
CALML6	CAMKK2	9606.ENSP00000304643	9606.ENSP00000312741	0	0	0	0	0	0.045	0.900	0.978	0.997
CAMK1	CAMKK1	9606.ENSP00000256460	9606.ENSP00000371188	0	0	0.111	0.694	0.064	0.184	0.500	0.286	0.713
CAMK1	CAMKK2	9606.ENSP00000256460	9606.ENSP00000312741	0	0	0.094	0.723	0.075	0.334	0.500	0.237	0.748
CAMK4	CAMKK2	9606.ENSP00000282356	9606.ENSP00000312741	0	0	0.134	0.641	0.061	0.184	0.900	0.304	0.945
CAMK4	CAMKK1	9606.ENSP00000282356	9606.ENSP00000371188	0	0	0.123	0.638	0.060	0.178	0.900	0.337	0.947
CAMKK1	CAMKK2	9606.ENSP00000371188	9606.ENSP00000312741	0	0	0.064	0.953	0.073	0	0.900	0.068	0.908
