#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GNAQ	ADRBK1	0	0	0	0	0	0	0	0	0	0	0.999
GNAQ	AGTR1	0	0	0	0	0	0	0	0	0	0	0.999
GNAQ	PLCB1	0	0	0	0	0	0	0	0	0	0	0.999
GNAQ	S1PR3	0	0	0	0	0	0	0	0	0	0	0.998
GNAQ	PLCB3	0	0	0	0	0	0	0	0	0	0	0.998
GNAQ	GRM5	0	0	0	0	0	0	0	0	0	0	0.997
GNAQ	RGS2	0	0	0	0	0	0	0	0	0	0	0.997
GNAQ	FFAR1	0	0	0	0	0	0	0	0	0	0	0.997
GNAQ	RGS4	0	0	0	0	0	0	0	0	0	0	0.997
GNAQ	CXCR4	0	0	0	0	0	0	0	0	0	0	0.996
