#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CBL	CRK	0	0	0	0	0	0	0	0	0	0	0.999
CBL	GRB2	0	0	0	0	0	0	0	0	0	0	0.999
CBL	FYN	0	0	0	0	0	0	0	0	0	0	0.999
CBL	PLCG1	0	0	0	0	0	0	0	0	0	0	0.999
CBL	PIK3R1	0	0	0	0	0	0	0	0	0	0	0.999
CBL	EGFR	0	0	0	0	0	0	0	0	0	0	0.999
CBL	LCP2	0	0	0	0	0	0	0	0	0	0	0.999
CBL	ZAP70	0	0	0	0	0	0	0	0	0	0	0.999
CBL	SH3KBP1	0	0	0	0	0	0	0	0	0	0	0.999
CBL	CRKL	0	0	0	0	0	0	0	0	0	0	0.999
