#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NPHS1	CD2AP	0	0	0	0	0	0	0	0	0	0	0.999
NPHS1	NPHS2	0	0	0	0	0	0	0	0	0	0	0.999
NPHS1	NCK1	0	0	0	0	0	0	0	0	0	0	0.999
NPHS1	FYN	0	0	0	0	0	0	0	0	0	0	0.998
NPHS1	TRPC6	0	0	0	0	0	0	0	0	0	0	0.998
NPHS1	WASL	0	0	0	0	0	0	0	0	0	0	0.997
NPHS1	ARRB2	0	0	0	0	0	0	0	0	0	0	0.997
NPHS1	KIRREL	0	0	0	0	0	0	0	0	0	0	0.993
NPHS1	TJP1	0	0	0	0	0	0	0	0	0	0	0.988
NPHS1	NCK2	0	0	0	0	0	0	0	0	0	0	0.98
