#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
APOE	LRP8	0	0	0	0	0	0	0	0	0	0	0.999
APOE	LRP1	0	0	0	0	0	0	0	0	0	0	0.999
APOE	APOB	0	0	0	0	0	0	0	0	0	0	0.998
APOE	LDLR	0	0	0	0	0	0	0	0	0	0	0.998
APOE	APP	0	0	0	0	0	0	0	0	0	0	0.998
APOE	MAPT	0	0	0	0	0	0	0	0	0	0	0.997
APOE	VLDLR	0	0	0	0	0	0	0	0	0	0	0.997
APOE	APOA1	0	0	0	0	0	0	0	0	0	0	0.997
APOE	TREM2	0	0	0	0	0	0	0	0	0	0	0.995
APOE	SORL1	0	0	0	0	0	0	0	0	0	0	0.995
