#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
KDR	SH2D2A	0	0	0	0	0	0	0	0	0	0	0.999
KDR	FIGF	0	0	0	0	0	0	0	0	0	0	0.999
KDR	VEGFA	0	0	0	0	0	0	0	0	0	0	0.999
KDR	SHC1	0	0	0	0	0	0	0	0	0	0	0.999
KDR	NCK1	0	0	0	0	0	0	0	0	0	0	0.999
KDR	CDH5	0	0	0	0	0	0	0	0	0	0	0.999
KDR	VEGFC	0	0	0	0	0	0	0	0	0	0	0.999
KDR	NRP1	0	0	0	0	0	0	0	0	0	0	0.999
KDR	PECAM1	0	0	0	0	0	0	0	0	0	0	0.998
KDR	PGF	0	0	0	0	0	0	0	0	0	0	0.998
