#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
LRRTM2	NRXN1	0	0	0	0	0	0	0	0	0	0	0.993
LRRTM2	NRXN2	0	0	0	0	0	0	0	0	0	0	0.984
LRRTM2	NRXN3	0	0	0	0	0	0	0	0	0	0	0.957
LRRTM2	DLG4	0	0	0	0	0	0	0	0	0	0	0.917
LRRTM2	TMEM2	0	0	0	0	0	0	0	0	0	0	0.9
LRRTM2	NLGN1	0	0	0	0	0	0	0	0	0	0	0.817
LRRTM2	CACNG2	0	0	0	0	0	0	0	0	0	0	0.779
LRRTM2	NLGN2	0	0	0	0	0	0	0	0	0	0	0.751
LRRTM2	C15orf27	0	0	0	0	0	0	0	0	0	0	0.705
LRRTM2	NXN	0	0	0	0	0	0	0	0	0	0	0.705
