#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
TLN1	VCL	0	0	0	0	0	0	0	0	0	0	0.999
TLN1	ITGB3	0	0	0	0	0	0	0	0	0	0	0.998
TLN1	ITGB1	0	0	0	0	0	0	0	0	0	0	0.998
TLN1	PXN	0	0	0	0	0	0	0	0	0	0	0.997
TLN1	APBB1IP	0	0	0	0	0	0	0	0	0	0	0.997
TLN1	PIP5K1C	0	0	0	0	0	0	0	0	0	0	0.996
TLN1	PTK2	0	0	0	0	0	0	0	0	0	0	0.988
TLN1	ACTN1	0	0	0	0	0	0	0	0	0	0	0.979
TLN1	ITGB2	0	0	0	0	0	0	0	0	0	0	0.977
TLN1	ITGA5	0	0	0	0	0	0	0	0	0	0	0.977
