#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CALM1	NOS3	0	0	0	0	0	0	0	0	0	0	0.997
CALM1	MYLK	0	0	0	0	0	0	0	0	0	0	0.994
CALM1	SCN5A	0	0	0	0	0	0	0	0	0	0	0.993
CALM1	RYR1	0	0	0	0	0	0	0	0	0	0	0.993
CALM1	RYR2	0	0	0	0	0	0	0	0	0	0	0.991
CALM1	CACNA1C	0	0	0	0	0	0	0	0	0	0	0.986
CALM1	NOS2	0	0	0	0	0	0	0	0	0	0	0.981
CALM1	IQGAP1	0	0	0	0	0	0	0	0	0	0	0.98
CALM1	DAPK1	0	0	0	0	0	0	0	0	0	0	0.975
CALM1	KCNN2	0	0	0	0	0	0	0	0	0	0	0.972
