#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
UBC	RAD18	0	0	0	0	0	0	0	0	0	0	0.999
UBC	UBE2N	0	0	0	0	0	0	0	0	0	0	0.999
UBC	UCHL3	0	0	0	0	0	0	0	0	0	0	0.999
UBC	PSMD4	0	0	0	0	0	0	0	0	0	0	0.999
UBC	UBA1	0	0	0	0	0	0	0	0	0	0	0.999
UBC	ATXN3	0	0	0	0	0	0	0	0	0	0	0.999
UBC	USP2	0	0	0	0	0	0	0	0	0	0	0.999
UBC	AMFR	0	0	0	0	0	0	0	0	0	0	0.998
UBC	OTULIN	0	0	0	0	0	0	0	0	0	0	0.998
UBC	PARK2	0	0	0	0	0	0	0	0	0	0	0.998
