#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CACNA1C	CAMK2A	9606.ENSP00000266376	9606.ENSP00000500386	0	0.001	0	0	0.100	0.067	0.650	0.591	0.863
CACNA1C	NOS1	9606.ENSP00000266376	9606.ENSP00000477999	0	0	0	0	0.044	0.062	0.900	0.256	0.924
CACNA1C	RYR1	9606.ENSP00000266376	9606.ENSP00000352608	0	0	0	0	0.140	0.091	0.720	0.780	0.945
CACNA1C	RYR2	9606.ENSP00000266376	9606.ENSP00000355533	0	0	0	0	0.162	0.324	0	0.970	0.981
CACNA1C	CALML6	9606.ENSP00000266376	9606.ENSP00000304643	0	0	0	0	0	0.136	0.900	0.990	0.999
CALML6	KRAS	9606.ENSP00000304643	9606.ENSP00000256078	0	0	0	0	0.074	0.097	0.900	0.982	0.998
CALML6	CAMK4	9606.ENSP00000304643	9606.ENSP00000282356	0	0	0	0	0.067	0.129	0.900	0.986	0.998
CALML6	NOS3	9606.ENSP00000304643	9606.ENSP00000297494	0	0	0	0	0	0.046	0.900	0.996	0.999
CALML6	CAMKK2	9606.ENSP00000304643	9606.ENSP00000312741	0	0	0	0	0	0.045	0.900	0.978	0.997
CALML6	MYLK2	9606.ENSP00000304643	9606.ENSP00000365162	0	0	0	0	0.210	0.129	0.650	0.993	0.998
CALML6	NOS1	9606.ENSP00000304643	9606.ENSP00000477999	0	0	0	0	0	0.046	0.900	0.995	0.999
CALML6	CAMK2A	9606.ENSP00000304643	9606.ENSP00000500386	0	0	0	0	0.044	0.254	0.900	0.993	0.999
CALML6	RYR1	9606.ENSP00000304643	9606.ENSP00000352608	0	0	0	0	0.044	0.218	0.900	0.989	0.999
CALML6	RYR2	9606.ENSP00000304643	9606.ENSP00000355533	0	0	0	0	0	0.218	0.900	0.993	0.999
CAMK2A	KRAS	9606.ENSP00000500386	9606.ENSP00000256078	0	0	0	0	0	0	0.500	0.103	0.532
CAMK2A	CAMK4	9606.ENSP00000500386	9606.ENSP00000282356	0	0	0.077	0.810	0.105	0.052	0.900	0.180	0.924
CAMK2A	NOS3	9606.ENSP00000500386	9606.ENSP00000297494	0	0	0	0	0.062	0.292	0.900	0.081	0.930
CAMK2A	RYR2	9606.ENSP00000500386	9606.ENSP00000355533	0	0	0	0	0.109	0.069	0.900	0.279	0.932
CAMK2A	NOS1	9606.ENSP00000500386	9606.ENSP00000477999	0	0	0	0	0.125	0	0.900	0.256	0.929
CAMK4	NOS3	9606.ENSP00000282356	9606.ENSP00000297494	0	0	0	0	0.059	0.071	0.900	0.281	0.928
CAMK4	CAMKK2	9606.ENSP00000282356	9606.ENSP00000312741	0	0	0.134	0.641	0.061	0.184	0.900	0.304	0.945
CAMKK2	RYR1	9606.ENSP00000312741	9606.ENSP00000352608	0	0	0	0	0.042	0	0	0.443	0.443
KRAS	NOS1	9606.ENSP00000256078	9606.ENSP00000477999	0	0	0	0	0	0	0.900	0.071	0.903
MYLK2	RYR1	9606.ENSP00000365162	9606.ENSP00000352608	0	0	0	0	0.145	0	0	0.380	0.447
NOS1	NOS3	9606.ENSP00000477999	9606.ENSP00000297494	0	0	0.061	0.959	0.047	0	0.900	0.078	0.906
NOS1	RYR1	9606.ENSP00000477999	9606.ENSP00000352608	0	0	0	0	0.091	0	0.900	0.537	0.954
NOS1	RYR2	9606.ENSP00000477999	9606.ENSP00000355533	0	0	0	0	0.056	0	0.900	0.597	0.958
NOS3	RYR1	9606.ENSP00000297494	9606.ENSP00000352608	0	0	0	0	0	0	0	0.425	0.425
NOS3	RYR2	9606.ENSP00000297494	9606.ENSP00000355533	0	0	0	0	0	0	0	0.561	0.561
RYR1	RYR2	9606.ENSP00000352608	9606.ENSP00000355533	0	0	0.055	0.971	0.080	0.690	0.900	0.137	0.972
