#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
VAV1	ZAP70	0	0	0	0	0	0	0	0	0	0	0.999
VAV1	LCP2	0	0	0	0	0	0	0	0	0	0	0.999
VAV1	CBL	0	0	0	0	0	0	0	0	0	0	0.999
VAV1	CD19	0	0	0	0	0	0	0	0	0	0	0.999
VAV1	SYK	0	0	0	0	0	0	0	0	0	0	0.999
VAV1	CDC42	0	0	0	0	0	0	0	0	0	0	0.997
VAV1	ITK	0	0	0	0	0	0	0	0	0	0	0.996
VAV1	SH3BP2	0	0	0	0	0	0	0	0	0	0	0.995
VAV1	EZH2	0	0	0	0	0	0	0	0	0	0	0.995
VAV1	RHOA	0	0	0	0	0	0	0	0	0	0	0.995
