#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATXN7	PRKCG	9606.ENSP00000295900	9606.ENSP00000263431	0	0	0	0	0	0	0	0.780	0.780
ATXN7	ATXN7-2	9606.ENSP00000295900	9606.ENSP00000439585	0	0	0.046	0.988	0	0.800	0.540	0	0.904
ATXN7	CACNA1A	9606.ENSP00000295900	9606.ENSP00000489829	0	0	0	0	0	0.066	0	0.964	0.964
ATXN7-2	PRKCG	9606.ENSP00000439585	9606.ENSP00000263431	0	0	0	0	0	0	0	0.780	0.780
ATXN7-2	CACNA1A	9606.ENSP00000439585	9606.ENSP00000489829	0	0	0	0	0	0.066	0	0.964	0.964
CACNA1A	PRKCG	9606.ENSP00000489829	9606.ENSP00000263431	0	0	0	0	0.109	0	0.900	0.793	0.980
CACNA1A	CACNA1C	9606.ENSP00000489829	9606.ENSP00000266376	0	0	0.099	0.854	0.078	0.109	0.900	0.458	0.952
CACNA1A	CALM3	9606.ENSP00000489829	9606.ENSP00000291295	0	0	0	0	0	0.927	0	0.707	0.977
CACNA1A	CACNB2	9606.ENSP00000489829	9606.ENSP00000320025	0	0	0	0	0.108	0.527	0.540	0.795	0.955
CACNA1A	CACNA2D1	9606.ENSP00000489829	9606.ENSP00000349320	0	0	0	0	0.084	0.289	0.540	0.855	0.951
CACNA1A	CACNA1E	9606.ENSP00000489829	9606.ENSP00000356545	0	0	0.059	0.952	0.166	0	0.900	0.442	0.950
CACNA1A	CACNA2D2	9606.ENSP00000489829	9606.ENSP00000418081	0	0	0	0	0.067	0.289	0.800	0.886	0.982
CACNA1A	CACNB4	9606.ENSP00000489829	9606.ENSP00000438949	0	0	0	0	0.178	0.637	0.800	0.928	0.995
CACNA1C	PRKCG	9606.ENSP00000266376	9606.ENSP00000263431	0	0	0	0	0.081	0	0.900	0.167	0.916
CACNA1C	CACNA1E	9606.ENSP00000266376	9606.ENSP00000356545	0	0	0.095	0.850	0.067	0.092	0.540	0.168	0.653
CACNA1C	CACNB4	9606.ENSP00000266376	9606.ENSP00000438949	0	0	0	0	0.068	0.412	0.900	0.523	0.970
CACNA1C	CACNA2D2	9606.ENSP00000266376	9606.ENSP00000418081	0	0	0	0	0.104	0.439	0.800	0.842	0.982
CACNA1C	CACNA2D1	9606.ENSP00000266376	9606.ENSP00000349320	0	0	0	0	0.128	0.512	0.900	0.966	0.998
CACNA1C	CACNB2	9606.ENSP00000266376	9606.ENSP00000320025	0	0	0	0	0.162	0.887	0.720	0.986	0.999
CACNA1C	CALM3	9606.ENSP00000266376	9606.ENSP00000291295	0	0	0	0	0	0.989	0.900	0.994	0.999
CACNA1E	CALM3	9606.ENSP00000356545	9606.ENSP00000291295	0	0	0	0	0	0.925	0	0.636	0.971
CACNA1E	CACNB2	9606.ENSP00000356545	9606.ENSP00000320025	0	0	0	0	0.087	0.291	0.540	0.506	0.833
CACNA1E	CACNA2D1	9606.ENSP00000356545	9606.ENSP00000349320	0	0	0	0	0.087	0.925	0.540	0.725	0.990
CACNA1E	CACNB4	9606.ENSP00000356545	9606.ENSP00000438949	0	0	0	0	0.155	0.291	0.540	0.411	0.816
CACNA1E	CACNA2D2	9606.ENSP00000356545	9606.ENSP00000418081	0	0	0	0	0.087	0.289	0.800	0.799	0.970
CACNA2D1	PRKCG	9606.ENSP00000349320	9606.ENSP00000263431	0	0	0	0	0.078	0	0	0.396	0.419
CACNA2D1	CACNB2	9606.ENSP00000349320	9606.ENSP00000320025	0	0	0	0	0.083	0.401	0.720	0.972	0.995
CACNA2D1	CACNA2D2	9606.ENSP00000349320	9606.ENSP00000418081	0	0	0.051	0.952	0	0	0.540	0.456	0.741
CACNA2D1	CACNB4	9606.ENSP00000349320	9606.ENSP00000438949	0	0	0	0	0.066	0.401	0.900	0.735	0.983
CACNA2D2	CACNB2	9606.ENSP00000418081	9606.ENSP00000320025	0	0	0	0	0.060	0.401	0.800	0.926	0.990
CACNA2D2	CACNB4	9606.ENSP00000418081	9606.ENSP00000438949	0	0	0	0	0.060	0.401	0.540	0.866	0.960
CACNB2	CACNB4	9606.ENSP00000320025	9606.ENSP00000438949	0	0	0.054	0.963	0.080	0.126	0.720	0.568	0.891
CACNB4	CALM3	9606.ENSP00000438949	9606.ENSP00000291295	0	0	0	0	0	0	0	0.463	0.463
