#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GRIA1	GRIA4	9606.ENSP00000428994	9606.ENSP00000282499	0	0	0.053	0.970	0.190	0.292	0.800	0.983	0.997
GRIA1	GRM1	9606.ENSP00000428994	9606.ENSP00000282753	0	0	0	0	0.150	0	0	0.830	0.849
GRIA1	GRIA2	9606.ENSP00000428994	9606.ENSP00000296526	0	0	0.052	0.973	0.261	0.980	0.900	0.982	0.999
GRIA1	GRM5	9606.ENSP00000428994	9606.ENSP00000306138	0	0	0	0	0.191	0	0	0.901	0.916
GRIA1	GRIN2A	9606.ENSP00000428994	9606.ENSP00000332549	0	0	0	0.598	0.164	0.095	0.720	0.694	0.926
GRIA1	NLGN3	9606.ENSP00000428994	9606.ENSP00000351591	0	0	0	0	0.151	0	0	0.475	0.536
GRIA1	GRIN1	9606.ENSP00000428994	9606.ENSP00000360608	0	0	0	0.646	0.192	0.095	0.720	0.599	0.907
GRIA1	NRXN1	9606.ENSP00000428994	9606.ENSP00000385142	0	0	0	0	0.208	0	0	0.516	0.600
GRIA1	GRIN2B	9606.ENSP00000428994	9606.ENSP00000477455	0	0	0	0.603	0.191	0.071	0.720	0.723	0.934
GRIA1	GRIA3	9606.ENSP00000428994	9606.ENSP00000481554	0	0	0.056	0.969	0.186	0.710	0.900	0.983	0.999
GRIA2	GRIA4	9606.ENSP00000296526	9606.ENSP00000282499	0	0	0.048	0.976	0.192	0.840	0.720	0.982	0.999
GRIA2	GRM1	9606.ENSP00000296526	9606.ENSP00000282753	0	0	0	0	0.219	0	0	0.766	0.809
GRIA2	NLGN3	9606.ENSP00000296526	9606.ENSP00000351591	0	0	0	0	0.148	0	0	0.476	0.535
GRIA2	NRXN1	9606.ENSP00000296526	9606.ENSP00000385142	0	0	0	0	0.383	0	0	0.526	0.695
