#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTA2	MYL2	9606.ENSP00000224784	9606.ENSP00000228841	0	0	0	0	0.070	0.126	0	0.397	0.468
ACTA2	ACTB	9606.ENSP00000224784	9606.ENSP00000494750	0	0	0.047	0.986	0.065	0.165	0	0.415	0.506
ACTA2	MYL12B	9606.ENSP00000224784	9606.ENSP00000463559	0	0	0	0	0.127	0.366	0.500	0.218	0.755
ACTA2	CNN1	9606.ENSP00000224784	9606.ENSP00000252456	0	0	0	0	0.291	0.114	0	0.842	0.892
ACTA2	MYL6B	9606.ENSP00000224784	9606.ENSP00000450385	0	0	0	0	0.081	0.150	0.900	0.258	0.934
ACTA2	MYL6	9606.ENSP00000224784	9606.ENSP00000446955	0	0	0	0	0.101	0.150	0.900	0.359	0.944
ACTA2	MYL9	9606.ENSP00000224784	9606.ENSP00000279022	0	0	0	0	0.223	0.126	0.900	0.615	0.970
ACTA2	ACTG2	9606.ENSP00000224784	9606.ENSP00000386857	0	0	0.047	0.987	0.456	0.800	0.900	0.051	0.988
ACTA2	MYH11	9606.ENSP00000224784	9606.ENSP00000379616	0	0	0	0	0.374	0.379	0.900	0.942	0.997
ACTB	MYL2	9606.ENSP00000494750	9606.ENSP00000228841	0	0	0	0	0.067	0.126	0.900	0.440	0.948
ACTB	CNN1	9606.ENSP00000494750	9606.ENSP00000252456	0	0	0	0	0.074	0.114	0	0.331	0.403
ACTB	MYL9	9606.ENSP00000494750	9606.ENSP00000279022	0	0	0	0	0.122	0.126	0.900	0.368	0.945
ACTB	MYH11	9606.ENSP00000494750	9606.ENSP00000379616	0	0	0	0	0.091	0.368	0.900	0.403	0.961
ACTB	MYL6	9606.ENSP00000494750	9606.ENSP00000446955	0	0	0	0	0.286	0.314	0.900	0.529	0.973
ACTB	MYL6B	9606.ENSP00000494750	9606.ENSP00000450385	0	0	0	0	0.067	0.150	0.900	0.182	0.926
ACTB	MYL12B	9606.ENSP00000494750	9606.ENSP00000463559	0	0	0	0	0.187	0.354	0.900	0.376	0.962
ACTG2	CNN1	9606.ENSP00000386857	9606.ENSP00000252456	0	0	0	0	0.793	0.114	0	0.652	0.930
ACTG2	MYL9	9606.ENSP00000386857	9606.ENSP00000279022	0	0	0	0	0.379	0.126	0.900	0.578	0.974
ACTG2	MYH11	9606.ENSP00000386857	9606.ENSP00000379616	0	0	0	0	0.776	0.238	0.900	0.670	0.993
ACTG2	MYL12B	9606.ENSP00000386857	9606.ENSP00000463559	0	0	0	0	0.116	0.126	0.500	0.210	0.654
ACTG2	MYL6B	9606.ENSP00000386857	9606.ENSP00000450385	0	0	0	0	0.067	0.150	0.900	0.271	0.934
ACTG2	MYL6	9606.ENSP00000386857	9606.ENSP00000446955	0	0	0	0	0.108	0.150	0.900	0.307	0.940
CBFB	MYL9	9606.ENSP00000415151	9606.ENSP00000279022	0	0	0	0	0.057	0	0.750	0.085	0.765
CBFB	MYH11	9606.ENSP00000415151	9606.ENSP00000379616	0	0	0	0	0	0	0	0.978	0.978
CNN1	MYL9	9606.ENSP00000252456	9606.ENSP00000279022	0	0	0	0	0.514	0.133	0	0.501	0.771
CNN1	MYH11	9606.ENSP00000252456	9606.ENSP00000379616	0	0	0	0	0.788	0	0	0.859	0.968
MYH11	MYL2	9606.ENSP00000379616	9606.ENSP00000228841	0	0	0	0	0.152	0.272	0.900	0.428	0.960
MYH11	MYL9	9606.ENSP00000379616	9606.ENSP00000279022	0	0	0	0	0.291	0.414	0.900	0.707	0.986
MYH11	MYL6B	9606.ENSP00000379616	9606.ENSP00000450385	0	0	0	0	0.059	0.500	0.900	0.193	0.956
MYH11	MYL12B	9606.ENSP00000379616	9606.ENSP00000463559	0	0	0	0	0.101	0.567	0.900	0.289	0.968
MYH11	MYL6	9606.ENSP00000379616	9606.ENSP00000446955	0	0	0	0	0.079	0.678	0.900	0.462	0.981
MYL12B	MYL2	9606.ENSP00000463559	9606.ENSP00000228841	0	0	0.065	0.949	0.055	0	0.900	0.065	0.906
MYL12B	MYL9	9606.ENSP00000463559	9606.ENSP00000279022	0	0	0.048	0.984	0.044	0.616	0.900	0.052	0.960
MYL12B	MYL6	9606.ENSP00000463559	9606.ENSP00000446955	0	0	0	0.748	0.791	0.891	0.900	0.594	0.998
MYL12B	MYL6B	9606.ENSP00000463559	9606.ENSP00000450385	0	0	0	0.730	0.079	0.690	0.900	0.224	0.974
MYL2	MYL9	9606.ENSP00000228841	9606.ENSP00000279022	0	0	0.066	0.948	0.068	0	0.900	0.078	0.909
MYL2	MYL6B	9606.ENSP00000228841	9606.ENSP00000450385	0	0	0	0.725	0.056	0.311	0.900	0.202	0.941
MYL2	MYL6	9606.ENSP00000228841	9606.ENSP00000446955	0	0	0	0.722	0	0.311	0.900	0.309	0.948
MYL6	MYL9	9606.ENSP00000446955	9606.ENSP00000279022	0	0	0	0.733	0.117	0.780	0.900	0.381	0.986
MYL6	MYL6B	9606.ENSP00000446955	9606.ENSP00000450385	0	0	0.051	0.978	0.074	0.771	0.900	0.059	0.977
MYL6B	MYL9	9606.ENSP00000450385	9606.ENSP00000279022	0	0	0	0.718	0.081	0.710	0.900	0.224	0.976
