#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
KCNA1	KCNAB2	0	0	0	0	0	0	0	0	0	0	0.991
KCNA1	KCNAB1	0	0	0	0	0	0	0	0	0	0	0.989
KCNA1	STX1A	0	0	0	0	0	0	0	0	0	0	0.963
KCNA1	CNTNAP2	0	0	0	0	0	0	0	0	0	0	0.957
KCNA1	LGI1	0	0	0	0	0	0	0	0	0	0	0.938
KCNA1	DLG4	0	0	0	0	0	0	0	0	0	0	0.894
KCNA1	CNTNAP1	0	0	0	0	0	0	0	0	0	0	0.888
KCNA1	KCNAB3	0	0	0	0	0	0	0	0	0	0	0.883
KCNA1	KCNH1	0	0	0	0	0	0	0	0	0	0	0.852
KCNA1	ADAM22	0	0	0	0	0	0	0	0	0	0	0.844
