#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SYNGAP1	DLG4	0	0	0	0	0	0	0	0	0	0	0.996
SYNGAP1	DLG3	0	0	0	0	0	0	0	0	0	0	0.946
SYNGAP1	GRIN2B	0	0	0	0	0	0	0	0	0	0	0.936
SYNGAP1	SHANK3	0	0	0	0	0	0	0	0	0	0	0.896
SYNGAP1	ULK2	0	0	0	0	0	0	0	0	0	0	0.887
SYNGAP1	DLG2	0	0	0	0	0	0	0	0	0	0	0.884
SYNGAP1	NRAS	0	0	0	0	0	0	0	0	0	0	0.872
SYNGAP1	DLGAP2	0	0	0	0	0	0	0	0	0	0	0.865
SYNGAP1	SHANK2	0	0	0	0	0	0	0	0	0	0	0.844
SYNGAP1	ULK1	0	0	0	0	0	0	0	0	0	0	0.823
